Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male3
ENSMODG00000018424	5.76	9.4	16.78	8.02	13.07	13.29	164.97
ENSMODG00000025187	0	0	0	0	0	0	38.2
ENSMODG00000017359	0	0.07	0	0	0.08	0	0.15
ENSMODG00000009196	0	0	0	0	0.11	0	0
Locus_188415	0	0	0	0	0	0	0.89
ENSMODG00000002005	17.01	88.33	100.57	8.36	15.01	17.5	1.37
ENSMODG00000024956	0.13	0	0	0	0	0	109.68
ENSMODG00000021041	655.31	401.45	296.53	563.83	1213.02	537.82	497.18
Locus_377788	10.01	0	0	0	0	0	0
Locus_373289	2.8	0.8	0.08	0	0	0	0.11
ENSMODG00000017589	15.27	0.48	0.27	0.13	0.1	0	3.49
ENSMODG00000006691	8.62	10.42	14.7	14.79	30.06	22.57	31.1
ENSMODG00000024534	0.94	21.95	6.86	5.23	0.38	1.71	110.61
Locus_230829	0.09	0	0	0	0	0	7.3
ENSMODG00000012454	0.07	0	0.02	7.11	12.07	26.2	0.06
ENSMODG00000004189	5.33	8.05	17.19	8.66	21.55	22.38	3.4
ENSMODG00000025574	113.98	33.48	26.55	28.63	37.86	25.2	193.48
ENSMODG00000013361	0.08	0.4	0.6	11.71	13.99	11.12	25.73
Locus_418987	0	0	0	0	0	0	0.68
ENSMODG00000015858	0.1	0.1	0.07	0	0	0	1.1
ENSMODG00000013369	2.3	2.22	10.34	3.18	10.62	10.71	11.35
ENSMODG00000021441	0	0	0	0	0	0	0
ENSMODG00000012155	2.49	32.72	21.29	0.86	0.4	0.56	101.84
ENSMODG00000018282	6.45	8.3	6.9	3.2	2.47	5.14	10.56
ENSMODG00000017491	91.3	113.32	24.76	83.13	17.15	23.28	57.63
ENSMODG00000023859	1.2	2.91	2.86	3.99	2.53	2.75	3.12
Locus_191064	0	0	0.03	0.06	0.07	0.08	0
Locus_34299	0	0	0	0	0	0	2.16
ENSMODG00000016347	0.43	0.46	0.35	4.2	0.82	1.13	0.25
Locus_392103	0.38	0.12	0.05	0.11	0.4	0	0
Locus_314083	0	0	0	0	0	0	13.15
ENSMODG00000020630	0	3.81	0.84	2.35	1.78	1.63	0
ENSMODG00000008824	7.64	4.57	9.76	6.33	10.88	14.08	5.47
ENSMODG00000010224	13.59	14.37	12.22	13.3	8.5	12.82	46.86
ENSMODG00000013725	61	10.9	13.48	53.15	44.67	88.62	5.58
Locus_391388	0.04	0.02	0.01	0	0	0.1	0
ENSMODG00000008323	14.02	4.5	17.03	16.58	27.53	45.45	2.45
ENSMODG00000024416	11.38	1.72	3.76	0.37	0.14	0.28	0.77
ENSMODG00000003863	30.53	22.16	15.77	15.11	31.51	10.63	5.78
ENSMODG00000009870	46.6	14.9	10.57	12.67	6.36	9.21	6.16
ENSMODG00000012169	7.3	7.21	4.01	10.22	10.29	5.47	12.86
CUFF.337911	0	0.05	0	0.1	0	0	0.98
ENSMODG00000001537	1.15	5.28	15.1	0.78	0.73	0.54	0
Locus_376709	0	0.32	0.24	0	0	0	10.49
ENSMODG00000008328	14.5	13.24	18.19	8.37	17.78	7.63	56.17
ENSMODG00000011810	0	0	0	0	0	0	0
ENSMODG00000002599	8.52	7.15	9.27	6.76	6.16	9.08	5.51
Locus_418757	0	0	0	0	0	0	1.13
ENSMODG00000006073	2.62	1.41	1.87	5.33	7.72	1.85	1.61
blastnMouse.ENSMUSG00000086648	0	0	0	0	0	0	0
ENSMODG00000008542	0.13	0	0	0	0	0	0
Locus_373142	0.46	0	0	0	0	1.08	0
ENSMODG00000010723	8.53	2.6	4	4.02	2.12	4.92	74.65
Locus_35844	0.64	0.63	0.91	1.46	3.73	0.29	0.67
ENSMODG00000002842	5.14	2.51	4.29	11.06	5.3	3.94	0.85
ENSMODG00000017160	38.79	17.78	20.96	11.28	5.02	10.94	14.64
ENSMODG00000010135	66.79	51.78	24.2	48.17	31.58	27.23	40.85
ENSMODG00000018294	101.61	55.07	159.48	185.5	587.54	602.7	304.96
blastnGorilla.Locus_133507	0	0	0	0	0	0	0
Locus_90411	0	0	0	0	0	0	3.26
ENSMODG00000024190	0	0	0	0	0	0	0
ENSMODG00000005608	14.56	22.88	9.78	20.16	11.82	12.84	201.25
Locus_230081	0	0	0	0	0.18	0	0.25
ENSMODG00000001060	0.2	0.14	0	0.67	0.31	0.35	0
Locus_88233	0	0	0	0	0	0	1.6
Locus_391744	0	0	0	0	0	0	0.79
ENSMODG00000001331	0.33	0.63	1	1.12	6.71	2.34	1.7
Locus_316828	0	0	0	0	0	0	0.66
ENSMODG00000023188	51.02	18.76	12.8	14.9	15.03	11.15	6.11
blastnPlatypus.Locus_193364	0	0	0	0	0	0	0
ENSMODG00000017294	5.45	0	0.02	0	0	0	0.23
CUFF.317997	2.56	0.96	3.28	2.88	6.57	3.93	0.44
ENSMODG00000009307	73.62	3.73	4.93	16.42	22.87	36.65	0.85
Locus_419854	0.26	0.24	0.19	0.87	4.05	1.21	0.75
blastnHuman.ENSG00000254041	0	0	0	0	0	0	0
ENSMODG00000008852	13.06	19.3	6.95	10.66	6.61	5.21	106.38
blastnPlatypus.Locus_164498	0	0	0	0	0	0	0
Locus_391473	0	0.21	0.16	0	0.23	0.51	1.98
ENSMODG00000008178	4.35	4.42	4.91	4.57	4.71	5	5.06
Locus_87593	0.14	0	0.05	0.12	0	0	4.32
ENSMODG00000020377	41.88	22.72	16.79	34.55	12.61	23.3	28.75
blastnHuman.ENSG00000225602	0	0	0	0	0	0	0
Locus_319023	0.95	0.11	0	0	0	0	2.38
ENSMODG00000012661	1.15	0.65	0.65	0.22	0.04	0.17	0.66
ENSMODG00000017381	62.7	63.3	27.64	39.54	33.83	17.94	36.55
ENSMODG00000009425	19.11	8.67	15.29	12.33	22.13	16.45	12.24
ENSMODG00000007337	0	0.25	0.32	0.15	1.5	0	0.17
ENSMODG00000025738	0	0	0	0	0	0	25.53
ENSMODG00000000721	2.61	7.03	7.9	5.32	7.69	4.62	2.46
Locus_33589	0	0	0	0	0	0	2.38
ENSMODG00000025707	0	0.08	0.09	0	0.18	0	0.04
ENSMODG00000009605	28.12	18.67	23.03	12.19	6.29	17.21	23.73
blastnMouse.Locus_105325	0	0	0	0	0	0	0
ENSMODG00000001828	13.14	11.65	8.75	58.25	11.72	32.39	9.09
Locus_188399	0.37	0	0	0	0	0	0.72
Locus_120626	0.28	0	0.1	0	0	0	0.27
ENSMODG00000025482	1.54	8.98	6.55	1.11	0.87	1.12	7.86
ENSMODG00000021127	12.8	7.94	4.06	5.96	0.47	3.44	5.37
ENSMODG00000000976	0.68	3.87	1.71	2.27	1.48	0.4	3.4
ENSMODG00000020432	21.86	3.66	3.79	2.78	5.17	4.27	3.55
Locus_318634	0	0	0	0	0	0	0.79
ENSMODG00000005619	94.94	36.04	137.07	91.69	358.04	592.59	84.96
ENSMODG00000009009	2.45	15.98	12.75	10.32	4.14	7.44	5.42
Locus_230430	0.53	0.08	0.13	0.45	0.19	0.42	0.09
Locus_187835	2.05	0	0.15	0	0	0	0
blastnMouse.CUFF.206740	0	0	0	0	0	0	0
ENSMODG00000024308	0	0	0	0	0	0	0
ENSMODG00000014587	14.44	31.26	6.28	20.4	28.74	16.7	30.13
ENSMODG00000005215	2.78	4.7	4.15	7.49	0.98	5.66	7.82
ENSMODG00000009877	0.08	1.57	1.59	3.53	1	5.4	2.16
Locus_313126	0	0.84	0.16	0	0	0	0
ENSMODG00000022697	1.88	0.96	0.38	0.24	0.07	0	17.61
ENSMODG00000001981	4.32	5.23	16.14	4.23	18.19	11.18	26
ENSMODG00000013859	31.32	0.06	0.05	0	0	0	0.03
ENSMODG00000013951	53.05	38.92	14.11	61.16	61.2	33.57	32.15
ENSMODG00000002139	17.86	3.27	1.94	1.96	2.81	1.28	15.26
ENSMODG00000003820	0.21	1.32	1.53	4.19	6.38	4.61	115.04
Locus_322848	0	0	0.06	1.5	9.14	0.57	1.4
ENSMODG00000009498	1.98	6.77	7.1	19.03	5.43	29.59	6.4
Locus_391001	14.68	0.02	0	0.03	0	0	0.03
Locus_91773	0	0	0	0	0	0	3.4
Locus_122379	0	0	0	0	0	0	0.71
Locus_420915	0	0	0.08	0	0	0	0.41
Locus_87505	0	0	0	0.66	0	0	0.75
ENSMODG00000004559	20.24	27.27	39.88	34.76	146.66	55.63	11.23
Locus_99298	0	0	0	0	0	0	1.14
ENSMODG00000008523	1.77	6.46	5.89	28.44	1.48	14.82	3.94
ENSMODG00000007546	0.16	0.45	0.15	0.95	0.87	0.5	0.13
Locus_315967	0	0	0	0	0	0	0.59
Locus_372972	3.46	1.22	0.53	0.31	0	0	0.26
Locus_421013	0	0	0	0	0	0	0.21
ENSMODG00000010075	2.5	8.78	12.81	71.84	79.5	49.03	5.71
ENSMODG00000002712	0	0.03	0	0.05	0	0	87.07
ENSMODG00000002661	97.53	71.05	36.45	82.2	86.76	51.79	261.6
ENSMODG00000005625	80.33	50.83	42.83	35.25	57.36	28.73	19.73
CUFF.200572	5.42	0.11	0.17	1.15	0.76	0	0.15
Locus_192583	0	0	0	0	0	0	1.85
ENSMODG00000012142	90.05	58.42	34.01	20.76	17.56	14.1	163.72
Locus_313365	0	0	0	0	0	0	1.49
ENSMODG00000011945	5.08	639.62	223.74	313.4	225.38	150.93	13.51
ENSMODG00000018234	20.04	5	5.69	7.25	12.67	7.04	14.4
ENSMODG00000005098	7.88	18.65	10.73	8.9	16.56	7.31	4.64
ENSMODG00000014168	1735.36	833.31	232.92	1179.67	368.21	313.18	1874.83
ENSMODG00000011070	180.29	407.09	1554.7	274.8	1744.09	1021.93	57.56
ENSMODG00000023519	0	6.22	3.2	0.49	0.07	0.15	0.12
ENSMODG00000018697	0	0.04	0.03	0.07	0.09	0	0.16
ENSMODG00000013741	0.34	0.18	0.17	0.12	1.26	0.11	0
ENSMODG00000006874	6.41	0.47	0.19	0	0.34	0.08	0.1
Locus_121902	0	0	0	0	0	0	1.9
ENSMODG00000011758	2.37	0.3	0.66	0.47	1.25	0.41	2.1
Locus_373415	0	0	0	0	0	0	2.37
ENSMODG00000014167	8.07	1.44	0.58	0.64	0.58	0.56	1.37
ENSMODG00000012822	3.27	7.86	7.57	8.99	7.06	9.28	5.56
ENSMODG00000021397	4.03	4.32	4.45	10.05	10.77	11.88	8.65
ENSMODG00000011130	1.71	2.27	8.88	2.02	8.54	8.1	4.9
ENSMODG00000005854	10.25	5.92	3.32	2.49	3.08	2.17	2.84
Locus_87618	0	0	0.08	0	0	0	0.76
ENSMODG00000007452	1.56	81.78	16.29	5.08	3.01	1.78	362.87
ENSMODG00000020823	0	0	0	0	0	0	0.15
ENSMODG00000019729	44.56	29.71	12.95	31.22	7.23	11.99	45.59
ENSMODG00000004232	9.79	24.84	19.82	10.97	10.09	13.72	389.35
ENSMODG00000014889	0.78	0.68	0.57	0.33	0.41	0.15	7.36
ENSMODG00000014236	0	1.05	7.88	1.66	0.26	4.04	0
ENSMODG00000005939	0.71	5.81	38.78	0.84	10.33	4.05	8.34
ENSMODG00000023709	5.06	4.6	3.97	1.77	3.04	1.32	2.49
ENSMODG00000006887	0.87	7.37	4.29	180.92	44.26	154.02	0.31
ENSMODG00000013754	1.51	6.9	8.76	3.39	5.8	4.97	76.36
ENSMODG00000005035	1382.45	257.85	146.51	573.68	367.68	252.68	151.81
ENSMODG00000023755	0.83	0.99	2.88	1.41	4.38	2.46	5.64
Locus_230060	0.05	0	0.02	0.02	0.4	0.11	0
Locus_322465	0	0	0.1	0.24	0	0	0.7
ENSMODG00000002406	0.19	112.1	16.44	77.75	184.39	65.5	0
ENSMODG00000001963	1.96	0.3	0.09	0	0	0.09	0
ENSMODG00000004779	2.1	0	0.2	0	0	0	1.09
ENSMODG00000007477	0.24	15.13	17.03	73.89	101.93	70.67	0.7
Locus_373889	0	0	0	0	0	0	9.27
ENSMODG00000005955	6.14	8.73	9.56	7.94	17.54	9.91	4.46
ENSMODG00000015675	66.49	20.56	19.06	19.26	20.87	21.22	21.45
Locus_88381	0	0.11	0.3	0	0.25	0.28	0
ENSMODG00000019073	0.22	0	0	1.42	1.17	1.31	0
Locus_190508	0	0	0	0	0	0	0.39
ENSMODG00000013765	8.52	3.44	7.03	9.82	31.53	31.11	16.44
ENSMODG00000001729	0	0.13	0.06	0.05	0.17	0.06	0.44
ENSMODG00000002236	5.98	0.06	0.07	0	0	0	1.85
Locus_320894	0	0	0	0	0	0	3.8
ENSMODG00000021523	8.32	3.41	6.86	11.45	7.94	23.19	11.43
ENSMODG00000004135	2.36	6.63	5.4	5.44	3.2	7.97	18.56
Locus_86888	0	0.05	0.08	0	0.12	0	1.41
ENSMODG00000024182	0	1.53	5.14	56.49	85.74	97.04	0
ENSMODG00000006571	498.29	428.64	300.12	708.67	841.25	656.13	920.49
ENSMODG00000018778	18.43	15.61	56.79	24.03	106.57	83.25	3
ENSMODG00000015312	5.02	5.25	7.23	4.6	7.69	10.13	2.92
ENSMODG00000010884	6.65	18.08	20.98	16.97	18.2	22.89	12.6
ENSMODG00000024319	0	0	0	0	0	0	0
ENSMODG00000024510	0	0	0	0	0	0	0
ENSMODG00000006382	52.77	24.23	15.83	58.34	27.71	40.62	12.24
Locus_313088	0	0.06	0.37	0	0	0	0.62
ENSMODG00000007619	0	0	0	0	0	0	0.26
ENSMODG00000016282	2.09	0.56	0.3	0.14	0.46	0.31	1.88
ENSMODG00000010920	69.12	16.29	24.97	4.71	1.57	8.91	11.03
Locus_314735	0.44	0	0	0	0	0	0
ENSMODG00000019794	1.3	0.25	0.57	0.36	0.44	0.14	0.39
ENSMODG00000010916	0.64	5.11	2.26	2.62	0.96	2.25	1.85
Locus_35541	0	0	0.16	0	0.45	0	1.04
ENSMODG00000025579	1.11	0.16	0.18	2.2	0.72	0.59	1.85
ENSMODG00000003577	0	0	0	0	0	0	0
ENSMODG00000015331	0	0	0.12	0	0	0	0
ENSMODG00000024381	0	0	0	0	0	0	0
ENSMODG00000003026	0.48	0.15	0.15	0.22	0.19	0	19.14
Locus_92271	0	0.44	0.94	1.57	1.36	4.36	0.18
Locus_121694	0.55	0.26	0	0	0	0.32	0.67
ENSMODG00000022894	0.42	0.4	0.34	0.09	0.11	0.25	0.05
Locus_316850	0.57	0.82	0.31	0.97	0	0	0.83
blastnHuman.CUFF.461751	0	0	0	0	0	0	0
blastnHuman.ENSG00000229066	0	0	0	0	0	0	0
ENSMODG00000022843	2.11	2.51	0.9	1.17	0.57	0.12	3.85
ENSMODG00000008033	193.82	7.52	4.3	49.81	37.01	30.25	103.08
ENSMODG00000021087	6.79	6.72	12.23	6.79	7.96	9.79	13.52
ENSMODG00000019056	12.52	9.83	17.5	9.93	40.51	18.74	5.23
ENSMODG00000004762	0.21	2.11	3.85	1.55	4.3	1.21	106.48
ENSMODG00000007657	62.3	51.97	77.66	134.05	376.8	204.39	44.55
ENSMODG00000018498	2.5	4.03	5.24	353.71	1050.47	228.37	9.87
ENSMODG00000002174	3.71	0.52	0.35	7.59	0.7	14.3	2
Locus_99357	0.42	0	0.23	0	0.22	0.25	0
Locus_89799	0	1.22	2.78	3.71	9.2	1.29	0
ENSMODG00000017713	9.71	0.33	0.19	0	0.08	0	0.07
ENSMODG00000007733	2.82	0.02	0.05	0	0.05	0	0
ENSMODG00000021584	0	0	0	0	0	0	0
ENSMODG00000025526	0.13	8.22	6.49	0.4	0.71	0.55	211.23
ENSMODG00000018862	24.61	20.32	23.31	28.23	35.32	28.75	35.22
ENSMODG00000023728	2.79	2.42	3.44	2.85	1.2	3.72	2.77
Locus_375024	0	0	0	0	0	0	0.89
ENSMODG00000012321	11.35	18.06	14.71	16.52	12.39	16.23	4.94
ENSMODG00000002835	0	0.07	0	0	0	0	0
ENSMODG00000016564	0.2	0.19	0.22	4.31	2.88	3.83	0.05
ENSMODG00000022773	0	0	0	0	0	0	0
ENSMODG00000013588	0	0	0	0.18	0	0.08	0
ENSMODG00000018796	3.54	1.93	9.77	72.97	235.09	122.24	2.89
blastnGorilla.Locus_17627	0	0	0	0	0	0	0
ENSMODG00000018933	2143.62	1969.91	559.69	498.74	949.56	472.33	582.92
blastnPlatypus.Locus_125401	0	0	0	0	0	0	0
Locus_89795	0	0.42	0.63	0.74	0.92	0.69	0.14
Locus_420656	0	0.83	0.1	0	0	0	0
ENSMODG00000000701	58.83	12.99	7.35	3.69	0.98	1.89	7.66
ENSMODG00000012114	32.3	47.02	18.87	23.91	9.19	12.18	21.91
ENSMODG00000007959	3.72	21.3	14.93	41.06	23.7	63.93	43.35
ENSMODG00000006374	0	0	0	0	0	0	0
ENSMODG00000002344	30.84	17.05	14.09	22.07	29.94	22.06	15.74
ENSMODG00000001134	3.27	2.89	3.65	2.78	1.22	4.35	0.86
Locus_35279	0	0	0	0	0	0	0.11
ENSMODG00000020179	0	0	0	0	0	0	0.04
ENSMODG00000001450	0.06	0.41	0.3	1.27	0.47	3.43	0.53
ENSMODG00000008731	34.55	187.63	430.23	166.02	663.24	365.45	28.55
ENSMODG00000015027	10.3	29.23	38.2	7.53	42.82	12.74	47.34
Locus_391805	0	0.49	1.4	0	0	0.61	5.34
ENSMODG00000023659	0	0	0.5	0	0	0	0
Locus_230295	0	0	0	0	0	0	0
Locus_318176	3.29	0	0.03	0	0	0	0.08
ENSMODG00000015192	10.06	2.13	4.66	0.36	0.33	0.19	0.04
Locus_91208	0.47	0.22	0.17	0.4	0.5	0	0.23
Locus_121460	0.45	0.57	0.65	0	0.08	0.27	1.92
Locus_188676	0	0	0	0	0	0	4.12
Locus_372102	0	0	0	0	0	0	3.22
ENSMODG00000019465	32.2	10.79	20.12	37.55	103.16	91.9	44.89
ENSMODG00000001465	1.72	8.28	6.04	2.95	6.29	3.34	0.01
Locus_229786	0.36	0	0	0	0	0	0.52
ENSMODG00000000919	0.7	0.42	0.64	0.52	0.83	0	0.85
ENSMODG00000017000	27.53	0.91	0.51	0.25	0.04	0.1	3.36
ENSMODG00000000672	0.78	1.3	4.24	2.47	5.52	5.5	2.16
ENSMODG00000023149	0.84	1.71	0.73	0.84	0.31	0.35	0.52
ENSMODG00000017993	3.52	20.17	12.43	10.27	0.62	12.18	85.14
ENSMODG00000004046	0.23	0	0.08	0	0	0	0.06
Locus_91626	0.37	0	0	0	0	0	0
ENSMODG00000011886	0	0	0.06	0.15	0.56	0.35	0
ENSMODG00000015033	16.91	20.17	25.8	10.6	8.23	11.56	21.01
ENSMODG00000006239	237.7	0.05	0	0	0	0	0
Locus_87635	0.9	0	0	0	0	0	45.21
ENSMODG00000019373	2.1	3.3	9.31	2.49	9.5	7.18	6.81
ENSMODG00000014586	5.82	1.61	1.1	1.09	0	0.41	1.92
ENSMODG00000007711	0	9.89	18.47	0	0	0	0
ENSMODG00000006321	0	2.44	0.62	0.31	0	0	0.04
ENSMODG00000015214	0.88	1.74	0.98	4.11	1.26	2.08	4.93
Locus_120633	0	0	0	21.61	44.35	34.5	0
ENSMODG00000001166	8.7	6.6	6.54	3.87	0.94	1.98	4.5
ENSMODG00000012634	83.38	213.24	779.06	136.81	938.67	610.72	29.62
ENSMODG00000011560	4.45	7.98	9.72	24.69	63	35.52	116.91
ENSMODG00000000126	192.7	11.12	6.25	3.96	1.01	1.84	25.49
Locus_372771	0	0	0	0	0	0	2.54
Locus_88983	1.24	0.68	0.19	0.68	1.5	0.31	0.47
ENSMODG00000023730	52.15	0.56	0.6	0.33	1.24	0.18	0.42
Locus_120708	0	0	0.09	0.62	2.55	0.86	0.12
ENSMODG00000008299	4.14	0.02	0.03	0	0.09	0.1	0
ENSMODG00000013656	54.92	37.44	28.6	54.14	66.49	29.37	52.46
Locus_189349	0.24	1.42	0.23	0.05	0	0	8.02
ENSMODG00000007229	0.03	0.04	0.05	3.78	1.8	9.27	0.13
ENSMODG00000005328	0.64	2.46	5.85	2.08	10.68	9.94	0.23
ENSMODG00000014930	6.07	7.08	5.69	8.97	9.33	7.38	19.36
ENSMODG00000015968	2.71	0.04	0.03	0	0	0	0.04
ENSMODG00000000525	6.82	4.61	4.14	3.3	2.5	3.12	8.35
ENSMODG00000023261	33.33	0.16	0.09	0.1	0.41	0.07	4.5
ENSMODG00000005921	0	2.06	1.19	0.78	1.1	2.62	13.61
ENSMODG00000014059	80.79	0.12	0.27	0	0	0	0
ENSMODG00000004199	0.29	0	0	0.05	0	0.61	0.31
ENSMODG00000018200	3.97	10.77	16	10.95	16.17	48.44	5.11
ENSMODG00000006722	0.68	0.67	1.08	0.23	0.38	0.48	1.59
ENSMODG00000004494	6.21	4.32	3.76	4.33	4.18	10.17	5.3
blastnHuman.ENSG00000226438	0	0	0	0	0	0	0
ENSMODG00000018184	1369.82	1.07	0.26	0.24	0.44	0	14.15
ENSMODG00000019392	0.25	1.77	3.05	16.14	11.44	19.14	6.38
ENSMODG00000014511	0.73	9	6.33	12.38	11.23	24.6	0.71
blastnChicken.CUFF.212354	0	0	0	0	0	0	0.6
ENSMODG00000013844	8.56	5.74	6.15	7.68	3.06	6.22	32.64
ENSMODG00000004939	4.23	0.9	1.78	0	0.4	0	0.05
ENSMODG00000013686	103.01	92.04	40.66	158.61	64.25	56.88	594.25
ENSMODG00000016249	0	0	0	0	0	0	0
ENSMODG00000007049	0.79	1.47	0.56	0.25	0.04	0.15	2.36
ENSMODG00000007284	14.74	70.94	65.99	1173.65	2149.19	470.83	0.37
ENSMODG00000008387	35.48	60.21	31.54	36.55	42.4	19.73	24.45
ENSMODG00000012744	43.26	16.81	6.64	14.88	16.41	7	3.95
ENSMODG00000011837	4.53	27.28	15.15	4.09	6.85	4.23	18.33
ENSMODG00000025522	0.19	0.07	0.2	0	0.04	0.05	6.43
ENSMODG00000005728	0	0	0	0	0	0	0
Locus_228232	0	0	0	0	0	0	0.17
ENSMODG00000002282	0.3	18.37	55.89	0.13	1.02	0.88	0.58
ENSMODG00000019432	3.82	3.26	3.99	1.28	0.46	1.18	1.37
Locus_86874	0.07	0	0	0	0	0	42.13
ENSMODG00000012902	5.86	4.34	1.81	1.49	0.57	1.16	8.79
ENSMODG00000002602	0.49	0.05	0.1	0	0.06	0	0.95
Locus_32756	0	0	0.03	0.08	0.2	0	7.37
ENSMODG00000004481	14.66	8.26	11.15	9.63	3.3	10.77	11.45
ENSMODG00000023931	0.22	0.21	0.16	0.19	0.46	0.26	0.53
Locus_187950	0	0	0	0	0	0	2.92
Locus_189812	0	0	0	2.78	0	0	0
Locus_230117	0	0	0	0	0	0	0.2
Locus_322034	0	0	0	0	0	0	0
ENSMODG00000012225	19.78	0.26	0.3	0.12	0	0	0
ENSMODG00000007920	2.24	2.99	3.26	4.31	3.13	9.18	3.95
ENSMODG00000005802	10.3	5.04	7.04	3.28	1.78	4.43	10.74
ENSMODG00000018311	1.36	11.97	5.24	8.54	2.24	4.01	4.68
ENSMODG00000018721	7.37	9.62	9.67	11.56	4.32	24.79	8.03
Locus_88436	15.05	4.09	0.62	0.74	0.43	0.62	9.64
ENSMODG00000014227	11.85	5.24	3.45	8.91	8.78	11.97	13.96
Locus_418375	0	0	0	0.08	0	0.11	3.67
Locus_121414	0.51	0.57	0.19	0.29	0.18	0.2	2.15
Locus_229747	0	0	0	0	0	0	0.37
ENSMODG00000023813	0	0	0	0	0	0	0.25
ENSMODG00000024201	0	0	0	0	0	0	0
ENSMODG00000004796	16.91	69.68	68.44	44.3	39.37	61.95	2.11
Locus_98530	0	0	0	0	0	0	1.62
ENSMODG00000011191	11.12	20.72	33.47	41.2	92.71	55.42	37.52
ENSMODG00000006241	4.92	3.22	2.24	0.8	0.15	1.42	5.07
ENSMODG00000006657	14.71	9.85	6.53	12.04	12.01	9.1	22.21
ENSMODG00000001358	14.18	12.49	6.96	11.02	12.03	9.3	35.41
ENSMODG00000013430	4.4	7.74	6.58	4.63	9.03	3.16	0.73
Locus_32355	0.17	12.27	6.5	0.22	0.54	0.46	1.33
ENSMODG00000001888	1.21	11.45	14.57	29.1	35.45	26.42	0.88
Locus_190253	0	0	0	1.11	0	0.19	0.16
ENSMODG00000011619	10.22	12.84	23.39	13.15	119.08	31.41	5.02
ENSMODG00000008355	28.37	1.33	4.39	0.79	1.55	1.83	0.3
Locus_121055	0	0	0	0	0	0	0.66
ENSMODG00000008835	0.84	3.22	4.44	1.28	1.11	1.84	2.18
Locus_189736	0	0	0	3.9	1.49	2.08	0.17
ENSMODG00000001208	50.57	106.66	116.16	73.85	25.07	122.4	15.8
ENSMODG00000011514	0.1	0.05	0.04	0	0	0	192.3
ENSMODG00000017144	2.04	3.8	6.38	0.73	0.47	1.45	11.01
ENSMODG00000017121	14.06	18.56	26.17	44.3	65.33	56.92	5.19
Locus_375805	0.14	0.41	0.1	0.97	0.45	0	6.97
ENSMODG00000006536	6.6	0.03	0.29	0.26	1.02	0.07	0.76
ENSMODG00000020281	24.16	19.92	8.79	90.47	17.39	20.81	40.34
ENSMODG00000016663	5.03	0.46	0.59	3.9	4.05	3.39	49.5
ENSMODG00000024997	1.66	0.12	1.36	0.78	3.86	6.09	1.65
ENSMODG00000004568	7.47	6.08	15.8	9.55	29.7	26.86	6.76
ENSMODG00000017090	0.53	9.33	12.66	32.38	23.15	75.19	1.18
ENSMODG00000016214	2.27	23.62	12.64	0.7	1.42	6.71	6.81
ENSMODG00000016033	111.97	143.19	56.14	358.32	136.03	177.27	860.99
ENSMODG00000000992	6.96	12.68	14.51	3.05	8.44	3.99	3.99
ENSMODG00000018304	17.38	18.09	13.53	14.46	16.73	13.25	86.05
blastnHuman.ENSG00000254230	0	0	0	0	0	0	0
ENSMODG00000013998	3.03	1.94	5.27	2.41	20.54	5.25	0.73
blastnHuman.ENSG00000246084	0	0	0	0	0	0	0
ENSMODG00000019385	0.07	10.03	11.71	0.12	0.08	0.17	1.7
blastnPlatypus.Locus_178174	0	0	0	0	0	0	0
ENSMODG00000020501	0	0.04	0.04	0	0.02	0	1.83
blastnMouse.Locus_13078	0	0	0	0	0	0	0
ENSMODG00000005724	0	0	0	0	0	0	0
ENSMODG00000003711	0	0	0.07	0	0	0.15	0
ENSMODG00000020627	2.5	4.57	9.2	3.5	12.18	11.83	6.5
ENSMODG00000023190	2.11	3.17	4.61	12.3	7.63	11.05	6.14
ENSMODG00000005566	0.42	0	0	0	0	0	0.07
ENSMODG00000006705	0	9.13	20.76	12.32	33.23	28.29	0.52
ENSMODG00000007304	1.96	6.59	5.11	13.04	30.14	13.83	50.98
ENSMODG00000003675	8.15	0.44	1.44	0.22	0.14	0	0.38
Locus_315038	0	0	0	0	0	0	1.6
Locus_231662	0	0	0	0	0	0	2.94
ENSMODG00000017545	4.22	11.19	21.4	5.99	25.72	16.18	40.6
ENSMODG00000010368	22.99	7.89	5.23	11.6	3.79	1.98	3.14
ENSMODG00000016145	13.13	19.53	18.17	22.68	8.64	17.83	5.91
ENSMODG00000015872	0.18	2.94	1.99	2.34	1.33	0.21	0.33
ENSMODG00000018785	0	0	0	0	0	0	0
Locus_420904	1.79	0	0.03	0	0	0.1	0.66
ENSMODG00000023677	0	0	0	0	0	0	0
Locus_88879	0	0	0	0	0	0	2.6
ENSMODG00000016888	14.15	4.28	12.99	21.35	104.77	96.8	4.55
ENSMODG00000018349	0.08	3.45	3.65	1.02	0.25	2.65	66.11
Locus_391673	0.19	0.28	0.07	0.16	0	0	0.28
ENSMODG00000015560	0.62	1.06	0.96	0.26	0.92	0.61	0.4
ENSMODG00000023401	0	0	0	0	0	0	0
Locus_122401	0	0	0	0	0	0	1.76
ENSMODG00000018106	10.03	28.94	27.39	24.75	36.43	22.68	12.74
blastnHuman.ENSG00000249491	0	0	0	0	0	0	0
ENSMODG00000025191	0.63	3.77	3.91	0.8	0	0	0.77
ENSMODG00000020161	0	0	0	0	0	0	0
