Gene	Brain_Male2ss	Brain_Male7	EmbryonicBrain_Indiv1	EmbryonicBrain_Indiv2	EmbryonicLiver_Indiv1	Ovary_Female3	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3
ENSG00000239388	0	0	0	0	0	0.02	0	0	0	0.04
blastnGorilla.Locus_371889	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_352519	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_18550	0	0	0	0	0	0	0	0	0	0
blastnGorilla.CUFF.215212	0	0	0	0	0	0	0	0	0	0
ENSG00000158615	6.45	6.16	15.42	18.3	41.36	21.73	16.26	11.23	13.26	6.27
blastnMouse.Locus_47129	0	0	0	0	0	0	0	0	0	0
ENSG00000198182	2.13	2.66	5.14	7.23	1.39	2.04	1.04	1.57	1.5	3.59
ENSG00000142541	27.22	20.09	45.55	55.22	69.94	179.93	147.93	209.04	177.89	26.71
ENSG00000111679	0.68	0.75	0.1	0.05	1.36	3.98	10.66	10.34	14.44	1.1
blastnGorilla.Locus_134318	0	0	0	0	0	0	0	0	0	0.59
blastnGorilla.Locus_442144	0	0	0	0	0	0	0	0	0	0
ENSG00000124529	0.29	0.12	56.11	64.86	198.36	0	0.18	0.2	0.22	0.1
ENSG00000152207	0.28	0.54	0.21	0.12	0.19	0.41	3.91	2.69	6.13	0.08
ENSG00000076067	0.53	0.83	1.58	1.42	1.41	4.85	10.4	11.43	6.04	0.8
XLOC_012166	0	0	0	0	0	0	0	0.18	0	0.09
Locus_61056	0.61	0.08	1.03	2.45	0	0	0	0	0	0.56
ENSG00000105792	0.74	0.52	0.67	0.94	0.96	0.8	0.04	0.05	0.03	1.34
ENSG00000235268	0	0	0	0	0	0	0	0	0	0
ENSG00000120913	0.79	0.6	0.57	0.22	0.76	2.25	7.36	6.13	3.67	0.35
ENSG00000136709	3.5	3.8	7.36	9.46	9.22	4.71	3.36	3.16	4.12	8
ENSG00000183558	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_133740	0	0	0	0	0	0	0	0	0	0
ENSG00000176399	0.09	0.09	0.53	0	1.48	0.06	0.11	0.03	0	0.14
blastnOrangutan.Locus_23915	0	0	0	0	0	0	0	0	0	0
ENSG00000182898	0	0	0	0.05	0	0	0.05	0	0.06	0.01
Locus_147356	0	0.09	0	0	0	0	0.13	0	0.72	4.87
ENSG00000237400	0	0	0	0	0	0	0	0	0	0.13
CUFF.310749	0	0.14	0	0	0	0	0	0	0	5.2
ENSG00000107518	19.04	18.02	37.05	36.28	11.3	4.47	0.31	0.18	0.51	3.61
blastnPan.Locus_159713	0	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_81993	0	0	0	0	0	0	0	0	0	0
ENSG00000250646	0	0	0	0	0	0	0	0	0	0
ENSG00000257092	0.48	0.1	0	0	16.6	1.27	3.18	6.81	0.94	0.17
XLOC_001641	0	0	0	0	0	0.03	0	0.03	0	0
ENSG00000107362	11.7	8.41	9.65	8.97	9.79	5.33	4.35	5.13	3.05	4.98
XLOC_001376	0	0	0	0.17	1.03	0.14	0.09	0.2	0.06	0.05
Locus_12676	0	0.3	0	0	0.85	0	0	0	0.07	0.56
ENSG00000163468	49.33	51.03	55.94	64.16	81.76	45.32	47.19	63.27	75.5	83.46
ENSG00000143756	6.13	6.1	9.49	13.09	14.41	5.65	4.32	3.94	2.53	4.11
ENSG00000172795	6.1	6.42	6.6	7.11	12.72	3.79	4.74	2.75	9.52	3.53
ENSG00000124334	0	0	0	0	0	0.01	0.02	0	0.03	0
ENSG00000138829	0.02	0.07	1.52	1.53	2.99	0.47	53.85	39.73	78.43	4.26
blastnMacaque.Locus_189436	0	0	0	0	0	0	0	0	0	0
ENSG00000154537	0	0	0	0	0	0	0	0	0	0.12
blastnPlatypus.Locus_174623	0	0	0	0	0	0	0	0	0	0
ENSG00000115392	11.43	7.89	5.62	5	18.22	9.79	3.22	4.03	4.76	11.76
ENSG00000182220	97.85	67.94	16.82	19.54	39.14	43.07	62.14	43.21	42.91	15.07
ENSG00000113282	6.95	9.65	7.17	8.19	24.72	8.74	14.88	12.48	14.91	8.05
Locus_37764	0	0	0	0.81	0	1.44	0.13	0.1	0.03	0.27
ENSG00000174109	6.6	3.1	1.72	1.63	0.86	3.3	5.13	5.58	2.51	2.08
ENSG00000007001	0.94	0.88	2.32	1.88	0.73	0.24	0.02	0	0.02	0.13
ENSG00000183647	0.35	0.47	1.84	0.9	0.83	0.67	0.52	0.59	0.58	0.41
blastnPan.Locus_17215	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_178058	0	0	0	0	0	0	0	0	0	0
ENSG00000164219	1.74	1.13	1.45	1.97	2.4	3.61	2.99	2.78	3.79	2.63
ENSG00000196724	1.8	2.58	11.22	8.83	2.35	1.15	1.11	1.1	0.79	1.99
ENSG00000002016	2.65	2.91	6.9	6.46	1.98	2.78	0.7	0.7	1.16	1.94
blastnGorilla.Locus_391364	0	0	0	0	0	0	0	0	0	0
ENSG00000145642	0	0	0	0.04	0	0.1	0.53	0.31	0.06	0.16
ENSG00000230628	0	0.01	0	0	0	0	0	0	0	0.08
ENSG00000167136	8.68	8.84	6.09	7.02	3.74	4.62	14.49	11.44	7.5	8.8
ENSG00000183484	0.08	0.31	0.4	0.44	0.04	0.27	1.31	1.2	0.34	0.08
ENSG00000132334	3.05	4.01	1.45	1.55	0.97	1.37	2.39	1.82	2.01	0.39
ENSG00000108278	34.42	24.57	19.39	20.22	31.95	21.91	12.44	16.76	14.55	33.41
ENSG00000130224	3.11	3.7	8.88	8.28	1.09	3.3	1.36	1.29	2.9	2.82
Locus_146615	0	0	0	0	0	0	0	0	0	0.37
ENSG00000176659	0	0.11	0	0	0.09	0.04	0.02	0.08	0.03	0.05
ENSG00000255646	0	0	0	0	0	0.01	0	0	0	0
ENSG00000182134	7.57	11.93	3.45	3.95	0.76	1.16	1.9	1.62	2.82	25.27
ENSG00000169180	14.5	16.58	25.45	26.61	14.58	10.12	15.73	15.24	12.47	28.96
blastnMouse.Locus_104838	0	0	0	0	0	0	0	0	0	0
ENSG00000196704	21.4	13.47	7.77	10.41	4.4	7.86	8.54	7.34	7.54	36.76
ENSG00000169895	11.56	14.49	2.33	3.36	9.59	7.39	6.88	6.97	17.06	13.85
XLOC_014070	0.19	0.08	0	0	0	0.19	0	0	0	0.07
blastnOrangutan.Locus_120781	0	0	0	0	0	0	0	0	0	0
ENSG00000063978	5.22	3.53	5.79	8.22	3.06	5.36	7.21	7.12	3.7	5.08
ENSG00000185052	5.33	6.29	8.99	10.31	0.69	4.08	3.24	2.88	10.06	1.28
ENSG00000149534	0	0	0	0	0.12	0.12	0.23	0.04	0.1	0.4
Locus_159168	0	0.16	0	0	0	0	0	0	0	0.27
ENSG00000198093	4.23	5.87	7.06	7.28	6.97	2.48	3.17	3.18	5.47	3.82
ENSG00000255655	0.17	0.21	0.58	0.1	0	0	0.11	0.59	0.07	1.18
Locus_103248	0	0	0.44	0.15	0	0	0	0	0	0.98
ENSG00000123992	3.01	2.58	2.09	2.76	7.44	8.36	15.5	20.22	10.81	13.11
ENSG00000225903	0.34	0	0	0	0	0	0	0	0	0
ENSG00000212722	0	0	0	0	0	0	0	0	0	0
ENSG00000105366	0.86	0.36	0.34	0.11	0.55	0.08	0.52	0.14	0.28	0.1
ENSG00000107130	66.25	70.38	56.76	60.07	1.76	4.39	1.18	0.7	1.02	0.84
ENSG00000151033	0	0	0	0	0	0	0	0	0	33.78
XLOC_007210	0	0	0	0	0	0	0	0	0	0.11
blastnMacaque.Locus_244118	0	0	0	0	0	0	0	0	0	0
ENSG00000187790	1.18	0.8	2.17	1.89	4.29	1.19	0.28	0.28	0.8	5.18
ENSG00000163568	0.07	0.02	2.84	3.39	0.44	0.18	0.3	0.38	0.38	1.57
ENSG00000084652	6.32	9.75	5.73	6.39	10.54	11.95	7.82	7.55	14.86	19.84
ENSG00000133962	0	0.02	0.29	0.15	0	0.08	0.02	0.02	0.04	2.51
CUFF.164213	0.11	0.05	2.24	1.33	0	0.22	0	0	0	0.15
ENSG00000159618	0.1	0.04	0.09	0.04	0.06	0.32	0.11	0.21	0.06	0.11
ENSG00000090432	4.98	3.94	4.72	6.1	7.89	10.39	18.07	24.54	8.82	3.09
blastnMouse.Locus_92982	0	0	0	0	0	0	0	0	0	0
ENSG00000231326	0	0	0	0	0	0	0	0	0	0.36
ENSG00000167037	4.21	6.6	5.06	4.87	0.21	0.52	0.33	0.07	0.05	0.79
ENSG00000147573	0	0	0	0	19.68	0	0.13	0.02	0.19	14.28
ENSG00000240687	0.25	0.1	0	0	0	0	0	0	0.1	0.04
Locus_70039	0	0	0	0	0	0	0	0	0	2.31
ENSG00000126243	3.3	2.1	1.42	0.96	0	2.49	4.04	3.83	0.84	0.67
XLOC_002576	0	0	0	0	0	0	0	0	0	0.38
ENSG00000186810	0	0	0	0	0	0.24	0.17	0.3	0.17	0.02
blastnPan.Locus_40633	0	0	0	0	0	0	0	0	0	0.14
ENSG00000182329	0.36	0.71	0.32	0.35	0.16	0.01	0	0	0.03	1.11
ENSG00000227726	0	0	2.54	0.57	0	0.33	0.31	0	0	0
Locus_100646	0.25	0	0	0	0	0	0	0	0	0.35
ENSG00000151962	0	0.05	0	0	0.42	0.02	0.03	0	0.06	19.06
blastnGorilla.Locus_18026	0	0	0	0	0	0	0	0	0	0
ENSG00000250427	0	0	0	0	0	0.03	0	0	0	1.86
ENSG00000248743	0	0.03	0	0	0	0.04	0.02	0	0	0.05
ENSG00000103044	0.22	0.24	4.55	3.71	0.23	0.62	2.24	2.89	0.82	0.61
ENSG00000197776	2.45	2.4	1.52	0.66	0.92	2.79	0.61	0.5	0.27	2.5
ENSG00000095059	31.44	24.02	26.54	24.72	14.3	19.21	22.21	25.75	11.56	13.76
ENSG00000188493	0.93	0.55	0.35	0.44	0	2.37	4.19	4.55	1.66	1.82
ENSG00000184584	0.91	0.84	0.14	0.38	2.15	13.87	18.1	20.39	6.34	1.36
ENSG00000247626	0.88	0.62	2.3	3.64	4.02	1.5	1.36	1.82	0.47	0.37
ENSG00000140067	0.68	0.21	0.29	0	0	0.02	0.04	0	0.04	4.02
blastnMouse.CUFF.200244	0	0	0	0	0	0	0	0	0	0
ENSG00000253398	0	0	0	0	0	0	0	0	0	0.22
ENSG00000236376	0	0	0	0	0	0	0	0	0	0.15
CUFF.24600	0	0	0	0	0	0	0	0	0	1.21
ENSG00000157538	2.99	2.46	4.71	4.58	4.23	4.12	5.29	5.46	3.67	1.9
ENSG00000111432	0.09	0.1	0	0.05	0	0.75	3.14	3.81	1.98	0.06
Locus_136003	0	0	0	0	0	0	0	0	0	2.15
ENSG00000228412	0.19	0	0	0	0	0.03	0	0.07	0	0.43
blastnMacaque.Locus_472932	0	0	0	0	0	0	0	0	0	0
ENSG00000243543	0	0	0	0	0	0	0	0	0	15.16
ENSG00000113108	3.52	3.31	5.28	5.47	2.15	5.87	1.88	2.35	0.76	3.48
blastnGorilla.Locus_159723	0	0	0	0	0	0	0	0	0	0
ENSG00000105393	28.51	22.65	16.25	18.36	13.33	26.34	43.5	60.77	26.37	12.13
ENSG00000198691	0.07	0.05	0.12	0.16	0.03	0.1	0.39	0.27	0.17	0.23
blastnGorilla.Locus_94192	0	0	0	0	0	0	0	0	0	0.85
blastnGorilla.Locus_319026	0.23	0	0	0	0	0	0.14	0	0.18	0.16
ENSG00000159556	0	0.02	0	0	0	0.02	0.07	0	0.02	0.64
ENSG00000175265	8.22	9.2	3.03	3.74	0.27	12.32	0.74	0.33	0.09	8.04
ENSG00000203963	0.04	0	0	0	0	0.43	0	0	0	4.53
Locus_52932	0.21	2.32	1.44	0.67	0	0.07	0.13	0.07	0.04	5.36
ENSG00000100281	2.99	3.66	8.76	10.16	5.59	4.03	3.72	3.41	6.4	8.22
blastnMacaque.Locus_222230	0	0	0	0	0	0	0	0	0	0.16
ENSG00000213714	0.3	0.06	0	0	0	0.15	0	0	0.06	45.98
ENSG00000114993	5.56	6.86	1.84	1.7	8.36	4.7	4.68	5.73	4.4	0.87
ENSG00000010292	2.57	5.18	4.73	4.85	14.29	7.98	9.17	10.92	17.44	16.26
ENSG00000108021	3.07	4.45	7.88	7.45	16.16	4.84	3.47	2.29	3.91	15.11
blastnMacaque.Locus_187485	0	0	3.35	10.25	0	0	0	0	0	0
blastnMacaque.Locus_498982	0	0	0	0	0	0	0	0	0	0.29
ENSG00000134602	1.07	0.7	0.88	0.83	22.06	3.65	15.25	11.89	19.91	1.48
ENSG00000131747	0.03	0.01	4.63	6.68	50.5	8.49	6.36	7.49	50.6	109.18
ENSG00000168575	8	11.23	6.98	7.2	7.44	4.42	8.63	7.9	4.8	5.37
ENSG00000151929	12.53	9.52	0.7	1.19	0.8	15.57	29.72	25.59	54.54	36.17
blastnGorilla.Locus_73191	0	0	2.56	1.01	0	0	0	0	0	0.17
ENSG00000197446	0	0	0	0	0	0	0	0	0	0.09
blastnMouse.CUFF.200083	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.319264	0	0	0	0	4.38	0	0	0	0	0
CUFF.166709	0	0	0	0	1.08	0	0	0	0	2.05
ENSG00000172901	0.03	0.09	0.5	0.38	0.07	0.51	52.09	11.52	32.22	0.52
ENSG00000134375	18.47	11.98	9.13	8.7	14.58	9.45	12.52	11.61	7.57	5.31
ENSG00000248262	0	0	0	0	0	0	0	0	0	0.17
Locus_117637	0	0	0	0	0	0	0	0	0	0.35
ENSG00000253305	1.23	0.89	21.54	17.85	1.11	1.61	3.35	4.26	1.63	0.41
ENSG00000110092	2.72	2.37	1.15	1.5	20.46	7.47	54.13	55.34	31.89	1.22
blastnGorilla.Locus_371132	0	0.08	3.32	3.38	0.93	0.06	0	0	0.08	0
ENSG00000104331	11.51	11.38	12.61	14.06	15.22	9.08	14.75	10.3	9.46	6.87
ENSG00000104774	1.59	1.95	2.93	2.48	4.84	8.97	24.61	19.33	15.81	3.56
ENSG00000106304	0	0	0	0	0	0	0	0.02	0.13	5.26
ENSG00000228426	0	0	0	0	0	0	0	0	0	0.08
blastnPan.Locus_160075	0	0	0	0	0	0	0	0	0.32	0.28
ENSG00000137404	0.36	0.13	2.24	1.67	1.69	6.46	10.81	13.85	2.59	1.84
ENSG00000105669	31.62	21.38	39.78	22.14	67.6	48.71	123.13	154.37	52.71	34.77
ENSG00000163346	20.99	13.73	2.08	1.35	11.92	52.21	54.15	37	40.8	27.35
ENSG00000181961	0	0	0	0	0	0	0	0	0	0
ENSG00000219410	0	0	0	0	0	0	0	0	0	0.08
Locus_146674	0	0	0	0	0	0	0	0	0	70.92
XLOC_003531	0	0	0	0	0	0	0	0	0	0.15
ENSG00000063660	12.35	11.5	12.33	9.8	0.19	10.85	14.01	16.57	12.92	5.07
ENSG00000236528	0	0	0	0	0	0.12	0.15	0	0.19	0.04
ENSG00000240871	0	0	0	0	0	0	0	0	0	0
ENSG00000136444	9.37	8.56	6.68	6.38	4.17	9.72	5.04	6.29	5.92	5.95
ENSG00000096968	4.54	4.41	5.62	5.04	20.79	3.83	3.05	2.11	3.54	7.65
ENSG00000134569	9.58	9.06	3.02	2.37	0.31	1.88	0.97	1.21	3.48	0.5
ENSG00000164284	3.58	3.22	7.45	10.07	7.98	3.01	2.9	2.25	3.21	2.72
blastnMacaque.Locus_39804	0	0	0	0.38	0	0	0	0	0	0
ENSG00000129351	15.77	18.62	41.4	37.44	13.47	29.79	20.63	25.29	22.7	35.79
ENSG00000198673	21.4	15.75	11.14	13.56	0.1	2.03	0.57	0.26	0.29	1.38
ENSG00000078177	0.39	0.45	11.76	11.57	20.15	1.27	1.05	0.55	3.4	4.03
blastnGorilla.Locus_133376	0	0	0	0	0	0	0	0	0	0
ENSG00000125846	3.8	4.19	5.99	5.93	5.56	4.2	1.73	2.09	1.66	2.94
ENSG00000188282	0	0.01	0	0	0	0.06	0.03	0.02	0.03	0.01
ENSG00000185215	1.75	2.36	0.96	1.7	1.34	9.2	21.86	11.49	16.93	9.32
ENSG00000233280	0.29	0.75	0.33	0.63	6.22	0.26	2.48	0.84	0.93	2.93
ENSG00000182572	0	0	53.31	64.55	350.99	0	0	0	0	0
ENSG00000034533	1.2	1.03	2.49	3.09	3.69	2.19	2.2	2.16	1.19	2.99
ENSG00000204657	0	0	0	0	0	0	0	0	0	0.27
XLOC_001482	0	0	6.29	0.21	0	0	0	0	0	0
ENSG00000032389	4.89	2.95	4.28	2.71	1.64	1.64	2.64	4.25	1.89	1.73
blastnOpossum.Locus_120452	0	0	0	0	0	0	0	0	0	0
ENSG00000153266	8.2	5.41	5.64	7.75	0	0	0	0	0	0
XLOC_005040	0	0	0	0	1.51	0	0	0	0	0.11
ENSG00000248441	2.33	1.11	0.71	0.9	0.62	2.77	0.11	0.09	0.15	0.36
ENSG00000070087	158.76	189.36	84.12	83.63	4.88	19.99	10.53	8.16	10.74	9.6
ENSG00000249773	0	0	0	0	0	0	0	0	0.2	1.96
blastnMouse.ENSMUSG00000085553	0	0	0	0	0	0	0	0	0	0
ENSG00000158526	59.87	95.65	2.73	2.82	4.28	22.72	39.76	38.15	66.74	23.39
ENSG00000255760	0.08	0	0	0	0	0.08	0.05	0.05	0.03	0.19
ENSG00000165171	0	0.23	0	0	0	1.56	3.97	4.15	1.79	0.64
blastnGorilla.Locus_463489	0	0	0	0	0	0	0	0	0	0.09
blastnGorilla.Locus_60116	0	0	0	0	0	0	0	0	0	0
ENSG00000185482	0.94	1.91	1.1	1.54	0	1.91	2.18	2.78	3.46	20.03
ENSG00000103363	50.07	34.53	44.02	37.84	31.19	80.17	100.23	122.76	49.19	67.52
ENSG00000137720	2.47	1	1.91	2.61	1.08	3.16	1.93	2.27	0.7	3.98
ENSG00000104881	0.4	0.45	0.05	0.26	0	3.64	22.65	17.93	17.42	0.55
ENSG00000164751	3.43	3.64	3.03	3.46	16.64	5.86	4.03	4.83	4.26	3.4
ENSG00000145685	2.77	1.94	1.74	1.77	2.92	6.63	5.83	5.59	5.98	2.83
ENSG00000049768	0.07	0.11	0	0	0	0.19	0.11	0.05	0.07	0.31
ENSG00000169347	0	0	0	0	0.07	0.13	0.02	0	0.01	0.11
ENSG00000167118	9.85	9.6	8.07	4.24	5.6	8.86	16.63	21.56	11.21	6.36
blastnGorilla.Locus_134039	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_19485	0	0	0	0	0	0	0	0	0	0
ENSG00000092051	44.47	59.2	28.79	33.28	0.64	6.32	0.17	0.12	0.1	0.58
ENSG00000138100	0.95	2.08	0	0	0	0.02	0.34	0	0.03	6.76
ENSG00000147274	17.16	15.88	24.33	23.55	14.98	52.92	20.96	26.58	22.18	15.4
ENSG00000186951	0.83	0.57	1.92	1.73	18.54	2.39	1.15	1.12	1.02	0.21
ENSG00000138439	5.59	3.29	18.63	24.37	1.93	2.74	2.15	1.85	3.2	4.07
ENSG00000167984	0.06	0.06	0.33	0.29	0.43	0.18	0.66	0.83	0.35	0.1
blastnMacaque.Locus_18634	0	0	0	0	0	0	0	0	0	0.03
blastnMacaque.Locus_429310	0.1	0	0	0	0.72	0	0	0	0	0
ENSG00000164091	24.11	26.09	35.65	44.33	11.52	16.38	19.77	24.25	19	12.21
blastnMacaque.Locus_222333	0	0.07	1.11	1.89	0	0	0	0	0	0
ENSG00000256249	0	0	0	0	0	0	0	0.03	0	0
ENSG00000107614	0.6	0.57	3.8	4.84	1.63	0.87	0.48	0.27	0.45	0.63
ENSG00000106328	0	0.07	0.76	0.44	0	0.1	0.02	0	0.03	15.72
ENSG00000111341	0.54	0.23	0.2	0.63	14.81	115.57	61.25	99.46	13.89	9.72
ENSG00000130005	6.81	5.95	5.06	2.34	51.22	5.51	7.78	7.67	1.9	4.54
blastnMouse.CUFF.73197	0	0	0	0	0	0	0	0	0	0
ENSG00000141646	3.89	2.82	17.5	24.45	13.49	8.55	7.98	6.7	5.72	4.24
blastnPan.CUFF.177477	0	0	0	0	0	0	0	0	0	0
ENSG00000170190	0	0.02	0.36	0.36	0.1	3.19	7.14	5.79	1.43	0.35
ENSG00000105675	0.06	0.13	0	0.03	0	0	0.02	0	0	0.26
blastnPan.Locus_138331	0	0	0	0	0	0	0	0	0.13	0
ENSG00000241328	0	0.07	0	0	0	0	0	0	0	0
blastnGorilla.Locus_94087	0	0	0	0	0	0.09	0	0	0	0
blastnOpossum.Locus_121125	0	0	0	0	0	0	0	0	0	0
ENSG00000140798	1.71	2.06	0	0	0	0.03	0	0	0	5.02
ENSG00000230960	0	0.06	0	0	0	0	0	0	0	0.03
ENSG00000182916	312.31	267.3	23.53	19.52	5.58	13.9	2.68	1.26	3.94	3.52
ENSG00000232591	0.18	0	0	0	0	0	0.12	0	0.14	0
ENSG00000139044	0.89	3.53	0.65	1.16	0	1.53	0.31	0.08	0.11	6.29
ENSG00000081479	1.06	2.55	0.42	0.59	0.18	0.01	4.63	4.57	16.17	0.28
blastnGorilla.Locus_393624	0	0	0	0	0	0	0	0	0	0
ENSG00000196411	0.37	0.4	0.9	0.96	6.75	15.07	20.19	38.45	36.4	4.44
ENSG00000170832	12.53	21.84	7.65	7.5	13.72	3.27	4.11	2.82	4.37	53.29
ENSG00000125991	14.24	16.92	12.59	13.62	12.88	22.33	36.54	34.89	50.64	40.24
ENSG00000213413	0	0	0	0	0	0	0	0	0	0.09
ENSG00000131096	0	0	1.16	0.73	0	0.06	0	0	0.08	0.2
Locus_37152	0	0.25	0	0	0	0	0	0	0	0.07
ENSG00000163207	0	0	0	0	0	1.7	0.48	0.16	0.06	0.18
ENSG00000242885	0	0	0.78	0	0	0.23	0.86	1.42	0.8	0.32
ENSG00000227155	0	0	0	0	0	0	0	0	0	0.38
blastnMacaque.Locus_61967	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_177453	0	0	0	0	0	0	0	0	0	0.26
ENSG00000116704	1.05	1.13	6.08	7.64	39.71	2.96	2.69	2.62	3.47	2.09
ENSG00000073849	4.54	4.87	13.93	14.03	126.69	9.54	7.83	9.23	3.29	0.36
ENSG00000250913	0	0	0	0	0	0	0	0	0	0
ENSG00000184601	0	0	0	0	0	0.19	0.55	0.48	0.33	0.05
ENSG00000248238	0	0	0	0	0	0	0	0	0	0.06
ENSG00000164236	0.12	0.7	0.29	0.37	0.12	0.08	0.06	0.1	0.16	0.38
blastnOpossum.Locus_87377	0	0	0	0	0	0	0	0	0	0
XLOC_001804	0	0	0	0	0	0	0	0	0	0.54
ENSG00000161791	1.67	3.07	5.79	5.05	1.57	4.61	4.49	4.71	3.15	2.79
ENSG00000102317	23.79	19.51	18.86	15.24	25.11	33.59	54.88	71.65	85.39	37.5
Locus_37199	0	0	0	0	0	0	0	0	0	1.11
ENSG00000175728	0	0	0	0	0	0	0.02	0	0.06	0
ENSG00000074966	0.12	0.21	0.1	0.26	0.49	0.1	2.06	0.35	0.47	0.49
ENSG00000075420	0.29	0.28	1.53	1.97	23.89	7.69	17.1	9.17	7.06	1.11
ENSG00000086475	8.45	8.09	8.57	7.63	9.52	9.35	6.33	7.91	13.03	8.28
Locus_183528	0.35	0.59	0	0	0	0	0	0	0.14	0.98
blastnMacaque.Locus_192525	0	0	0	0	0	0	0	0	0	0
Locus_174952	0	0	0	0	0	0	0	0	0	0.31
ENSG00000171812	0.2	0.09	0.11	0	0.21	2.51	6.15	6.5	8.73	0.23
ENSG00000010310	0.26	1.8	0	0.15	0	0.12	0.1	0	0.08	0.12
ENSG00000214855	0	0.06	0	0	11.62	0.9	0.09	0.19	0	0
ENSG00000215454	0	0	0	0	0	0	0	0	0	0
ENSG00000165623	0	0	0	0	0	0.04	0	0	0.15	0
ENSG00000234139	0	0.12	0	0	0	0	0	0	0	3.08
blastnMacaque.Locus_475357	0	0	0	0	0	0	0	0	0	0
ENSG00000111731	18.88	21.01	14.38	13.75	15.42	6.01	2.99	2.61	4.24	13.17
ENSG00000187554	0.48	0.15	0.04	0.13	0.45	3.17	1.89	1.48	0.77	0.65
ENSG00000134115	2.22	2.21	1.11	1.52	0.42	0.06	0.03	0.01	1.83	0.1
ENSG00000160188	3.61	5.64	0.06	0.54	0	1.21	0.15	0.02	0.15	27.19
blastnPan.Locus_82455	0	0	0	0	0	0	0	0	0	0
ENSG00000171223	14.94	7.79	2.88	0.88	38.35	689.05	106.03	83.97	43.98	5.9
blastnMacaque.Locus_62427	0	0	0	0	0	0	0	0	0	0
ENSG00000149516	0	0	0	0	4.3	0	0.15	0.03	0.02	0.25
ENSG00000250243	0	0	0	0	0	0	0	0	0	1.46
blastnMacaque.Locus_210619	0	0	0	0	0	0	0	0	0	0
Locus_17247	0	0	0	0	0	0	0	0	0	1.68
ENSG00000129965	0	0.06	0.25	0.17	0	0	0	0	0	0
ENSG00000163875	38.82	28.69	11.93	11.43	8.27	12.56	11.86	10.16	14.3	28.3
ENSG00000172771	0.09	0.12	0.32	0.18	0.03	0.18	0.01	0.01	0	1.32
ENSG00000162849	0.39	0.83	4.47	3.54	0.15	0.15	1.21	0.68	3.62	0.8
ENSG00000136866	0.87	0.78	3	2.76	0.16	0.92	0.12	0.14	0.16	0.53
ENSG00000116237	10.25	10.11	5.28	5.82	16.65	10.88	30.62	33.72	23.4	4.56
blastnPan.Locus_86634	0	0	0	0	0	0	0	0	0	0
ENSG00000167608	0.05	0.17	0	0	0.06	1.7	9.05	4.28	1.49	0.13
ENSG00000145888	0	0.09	0	0	0	0	0	0	0	0
Locus_166565	0	0	0	0	0	0	0	0	0	0.28
blastnPan.Locus_97799	0	0	0	0	0	0	0	0	0	0.18
ENSG00000108262	26.96	29.13	14.27	11.17	0.94	9.44	16.78	20.78	8.34	36.77
blastnPan.Locus_117256	0	0	0	0	0	0	0	0	0	0
ENSG00000106077	2.29	2.01	0.93	1.56	0.2	6.94	15.86	13.44	4.83	1.27
ENSG00000159753	3.08	3.4	0.66	0.65	0.11	0.45	0.06	0.09	0.03	0.3
Locus_62788	1.01	1.33	0	0.08	0	0.1	1	0.6	2.31	0.25
ENSG00000228391	0.18	0	0	0	0	0	0	0	0	0
ENSG00000151247	3.65	2.19	5.21	4.88	2.08	1.07	0.78	0.63	0.72	1.64
blastnMacaque.Locus_19745	0	0	0	0	0	0	0	0	0	0
ENSG00000188730	4.49	4.52	2.07	1.77	0	2.58	0.05	0	0.01	0.09
ENSG00000021645	16.32	22.76	30.41	34.28	0.2	0.25	0.41	0.16	0.92	0.63
ENSG00000155640	1	1.59	6.25	5.5	10.02	0.42	0.88	0.87	1.82	2.23
blastnMacaque.Locus_341249	0	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_87674	0	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_53830	0	0	0	0	0	0	0	0	0	0
ENSG00000231612	0	0.29	0	0	0	0	0	0.16	0	1.11
ENSG00000119227	3.2	2.62	1.36	2.18	0.15	1.36	0.8	0.42	0.19	0.31
ENSG00000168036	39.41	27.7	32.14	26.8	71.39	49.85	46.3	42.65	68.84	18.33
ENSG00000123739	7.66	4.87	10.59	6.54	13.04	6.04	3.91	2.61	2.6	3
ENSG00000147378	0.19	0.24	0	0	0	0.28	0.18	0.07	0	115.67
ENSG00000112238	0	0	0	0	0	0	0.02	0	0	0.02
ENSG00000177558	0	0	0	0	0	0	0	0	0.1	9.22
ENSG00000226193	0	0	0	0	0	0	0	0	0	0
CUFF.288669	0.76	1.25	0	0.08	0	0	0	0	0	0.36
ENSG00000215343	0	0	0	0	0	0	0	0	0	0.01
ENSG00000235979	0	0	0	0	0	0	0	0	0	0.52
blastnPan.CUFF.250217	0	0	0	0	0	0	0	0	0	0
ENSG00000168334	0.05	0.01	0	0	0	0.09	0.57	0.02	0.01	0.01
