Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Testis_Male3
CUFF.143117	0	0	0	0.06
ENSGALG00000003687	11.46	14.38	12.23	21.56
ENSGALG00000002399	22.5	30.97	26.61	31.94
ENSGALG00000013346	0.11	0	0	0.05
CUFF.33215	0.33	0.13	0	0.69
ENSGALG00000004940	12.16	4.91	8.62	4.56
ENSGALG00000020895	0.14	1.55	2.28	0.13
ENSGALG00000005207	0	0.05	0.01	1.82
ENSGALG00000011835	7.68	10.86	9.24	7.18
ENSGALG00000002706	8.33	11.15	6.82	23.12
ENSGALG00000013173	9.33	13.4	3.7	28.6
ENSGALG00000016826	0.36	0.72	0.12	1.85
ENSGALG00000013542	1.53	8.34	10.71	1
ENSGALG00000011170	18.27	5.79	4.91	1.2
ENSGALG00000011577	21.29	0.07	0.35	2.48
ENSGALG00000008035	6.42	8.1	10.1	7.88
ENSGALG00000006374	0.78	0.02	0.19	1.52
Locus_20469	0	0.05	0.02	7.62
ENSGALG00000005351	0.24	0.03	0.39	0.2
ENSGALG00000000015	3.01	0.26	0.46	3.67
ENSGALG00000007835	8.12	5.59	5.46	7.7
ENSGALG00000014847	1.85	2.31	0.37	3.14
ENSGALG00000012551	10.26	12.56	14.58	6.63
ENSGALG00000003809	7.77	32.16	12.49	12.65
Locus_119379	0.33	0	0	0.56
ENSGALG00000004747	0.94	1.56	1.03	1.21
ENSGALG00000015578	0.04	0.14	0.04	1.32
ENSGALG00000016609	0.5	0.61	0.31	57.77
ENSGALG00000020878	3.48	4.14	5.63	2.57
ENSGALG00000024403	2.92	0.1	0	0.32
ENSGALG00000011360	2.41	5.5	7.2	11.05
ENSGALG00000024273	3.59	4.76	3.31	6.71
ENSGALG00000008150	1.83	19.21	20.3	1.38
ENSGALG00000016630	33.01	8.03	6.29	10.02
ENSGALG00000013023	2.59	2.56	1.2	13.66
ENSGALG00000001255	10.84	23.18	13.79	1.42
ENSGALG00000016784	0.91	3.98	3.05	9.6
ENSGALG00000019361	21.62	0.14	0.43	0.78
Locus_47139	1	0.18	0	1.5
Locus_104611	0.02	1.04	1.54	0.25
ENSGALG00000002392	59.26	4.18	4.04	20.01
Locus_84118	0.24	4.05	2.75	0.26
Locus_50445	0.37	0.17	0	0.64
ENSGALG00000000599	7.03	3.38	7.73	9.31
ENSGALG00000011940	160.67	0.04	0	161.24
CUFF.65700	0	0.05	0.06	1.68
ENSGALG00000003652	42.07	35.32	27.01	35.08
Locus_47907	0	0	0	0.79
ENSGALG00000000181	17.16	145.94	62.4	24.16
Locus_71536	0.1	0.05	0.06	1.77
ENSGALG00000002273	17.04	7.25	10.72	16.2
ENSGALG00000006676	2.85	0.16	0.27	2.6
ENSGALG00000009478	18.29	10.86	23.79	16.93
Locus_102349	0.22	0	0.12	0.29
Locus_66339	0.18	0.35	0.1	0.05
Locus_28185	0	0.02	0	0.85
ENSGALG00000011068	21.34	52.87	20.61	32.97
ENSGALG00000010319	1743.77	3.14	0.84	0.47
blastnHuman.ENSG00000231758	0	0	0	0
ENSGALG00000004410	34.68	28.27	52.4	51.02
ENSGALG00000013262	4.33	2.92	1.27	34.01
ENSGALG00000011605	6.97	101.66	72.53	22.06
ENSGALG00000017076	20	14.87	6.68	13.37
blastnPlatypus.Locus_31036	0.75	0.54	0.21	0.24
ENSGALG00000019502	0.56	1.51	0.41	1.33
ENSGALG00000014468	121.33	72.09	81.35	165.19
ENSGALG00000014234	8.53	5.65	10.76	5.58
ENSGALG00000012282	14.39	29.27	9.32	8.88
Locus_127780	0	0	0	0.61
Locus_19378	0.36	0.61	1.51	0.31
ENSGALG00000015543	24.92	8.69	20.52	40.6
blastnPlatypus.Locus_100952	0	0	0	0
Locus_47275	0.17	0	0	0.52
ENSGALG00000000894	6.95	6.9	19.87	1.63
CUFF.114596	0.65	1.51	2.49	4.58
ENSGALG00000015826	1.76	0.06	0.04	0
ENSGALG00000003886	4.93	3.17	3.56	1.73
ENSGALG00000000698	11.74	51.15	60.22	3.57
CUFF.187993	0.24	0	0	0.21
Locus_20343	0	0	0	0.67
ENSGALG00000013921	60.81	39.2	87.2	75.5
Locus_118035	0	0	0	0.52
ENSGALG00000005923	0.06	0.13	0.8	0
ENSGALG00000006149	19.94	26.4	26.01	23.46
Locus_87572	0	0	0	1.81
ENSGALG00000024096	15.08	20.62	22.41	6.35
Locus_98328	0.5	0.06	0	0.21
ENSGALG00000010164	69.09	544.54	149.66	87.05
ENSGALG00000008543	10.33	1.89	4.23	3.8
ENSGALG00000001864	47.47	4.26	3.88	20.51
ENSGALG00000019663	3029.91	19.75	9.43	3744.36
ENSGALG00000009397	0	0	0	63.9
ENSGALG00000014971	1.4	0.5	1.04	0.17
blastnOpossum.Locus_374471	0.67	0	0	0.29
ENSGALG00000003405	45.76	41.96	22.45	79.99
ENSGALG00000015675	7.97	4.09	4.78	4.6
ENSGALG00000010156	3	4.77	7.28	3.47
ENSGALG00000004769	1971.79	846.94	407.25	456.19
ENSGALG00000010053	17.83	81.16	55.71	12.97
ENSGALG00000004341	0.97	12.81	10.52	4.98
ENSGALG00000006583	24.68	59.32	84.85	4.56
ENSGALG00000004884	1.56	12.52	13.44	39.94
ENSGALG00000023650	5.68	2.6	5.14	2.32
ENSGALG00000021020	1.7	0.37	0.66	1.1
ENSGALG00000008438	19.17	40.71	54.37	8.93
ENSGALG00000001382	85.26	128.06	36.13	121.22
ENSGALG00000023656	65.19	6.64	7.38	4.39
ENSGALG00000010347	28.14	26.77	24.79	17.04
ENSGALG00000016674	1.95	13.6	8.27	99.87
ENSGALG00000006161	19.41	27.36	30.15	62.26
ENSGALG00000007018	1.13	4.12	9.43	1.42
ENSGALG00000016906	9.1	8.74	19.18	1.28
Locus_69392	0	0	0	1.93
ENSGALG00000011661	56.56	24.8	50.55	19.64
ENSGALG00000011770	14.89	47.49	23.98	35.52
Locus_102318	0	0	0	1.78
ENSGALG00000017327	3.66	3.86	13.2	0.47
ENSGALG00000003235	57.62	34.83	19.29	49.99
ENSGALG00000004624	156.8	21.82	5.05	78.47
ENSGALG00000015256	99.47	10.61	7.16	19.85
ENSGALG00000022098	0.38	0	0	0.16
ENSGALG00000005411	0.4	0.23	0.02	13.29
ENSGALG00000015055	5.36	0.27	0.37	1.97
ENSGALG00000022204	0	0	0	0
ENSGALG00000009972	5.41	8.72	8.79	8.15
ENSGALG00000005413	1.51	0	0	0.55
Locus_66309	0.46	0.87	8.94	0.29
Locus_5477	0	0.01	0.04	0
ENSGALG00000006824	14.9	18.74	12.85	29.61
blastnGorilla.Locus_58100	0	0	0	0
ENSGALG00000005259	3.5	2.88	2.59	1.17
ENSGALG00000022678	1.88	30.7	5.69	1.08
ENSGALG00000001540	63.64	86.53	47.07	75.83
ENSGALG00000006780	93.99	36.51	26.69	58.7
ENSGALG00000008501	6.46	6.73	6.64	2.67
ENSGALG00000013665	0	0	0	0
ENSGALG00000002830	20.26	5.38	3.6	6.25
ENSGALG00000011802	0.4	0	0	0.1
ENSGALG00000010762	0.52	0.68	0.48	0.42
ENSGALG00000010526	29.24	52.97	35.68	71.8
ENSGALG00000022046	0	0	0	0
ENSGALG00000013395	37.83	56.89	10.76	146.5
ENSGALG00000004419	1.7	2.51	8.67	1.18
Locus_99265	0	0	0	1.84
ENSGALG00000000568	0	0.92	7.57	0.12
ENSGALG00000005395	14.43	8.28	11.09	10.95
ENSGALG00000015659	0.1	0.13	0.21	0.06
Locus_80140	0	0	0	0.15
ENSGALG00000020164	26.31	35.63	20.81	72.04
ENSGALG00000023447	23.74	22.24	42.87	17.21
ENSGALG00000005196	62.04	15.72	23.96	43.22
CUFF.54598	0	0	0	0.28
ENSGALG00000015342	11.79	16.65	4.16	21.31
ENSGALG00000012313	2.69	0.99	2.37	0.87
ENSGALG00000013034	1.52	5.99	3.96	2.41
ENSGALG00000022021	0.71	1.26	8.3	2.03
ENSGALG00000003259	27.37	14.19	13.49	48.61
Locus_49042	0	0	0	1.32
ENSGALG00000009124	13.29	26.6	101.53	8.35
ENSGALG00000000146	96.88	82.92	16.78	94.25
ENSGALG00000023962	0	0	0	0.03
ENSGALG00000002080	4.6	7	7.64	15.88
ENSGALG00000016302	144.33	17.41	10.22	100.17
ENSGALG00000008963	33.07	17.63	8.76	133.32
ENSGALG00000007960	51.42	16.47	6.55	18.46
ENSGALG00000016427	36.27	44.93	23.79	32.64
ENSGALG00000005806	0.15	4.25	2.9	106.08
Locus_65905	0	0.14	0.29	0.14
ENSGALG00000000113	14.81	4.65	4.76	6.08
CUFF.88275	0	0.18	0	0.13
ENSGALG00000016331	47.43	5.24	2.6	22.8
blastnHuman.ENSG00000226856	0	0	0	0
ENSGALG00000004686	22.21	15.54	16.15	3.97
ENSGALG00000014381	149.49	186.4	106.97	162.63
Locus_64050	0.3	1.22	0.82	7.96
ENSGALG00000014185	1.62	5.93	8.47	2.31
Locus_5415	0	0	0	0
ENSGALG00000019721	0.86	0.02	0	0
ENSGALG00000012217	0	0.05	0.17	0.13
ENSGALG00000007631	10.94	13.18	3.61	7.98
ENSGALG00000001187	0	0.86	0	0
ENSGALG00000020492	0.04	13.19	8.81	1.08
ENSGALG00000000875	20.71	25.44	10.85	25.09
ENSGALG00000001824	0.75	3.33	1.95	3.17
ENSGALG00000006313	2.53	6.68	10.55	5.79
Locus_110561	0.71	0.08	0.05	2.51
ENSGALG00000006905	0.83	6.97	10.49	1.1
Locus_18907	0	0	0	0.57
ENSGALG00000006207	39.01	35.64	85.55	110.27
ENSGALG00000005619	88.66	33.1	25.11	8.38
ENSGALG00000016100	18.7	2.87	2	1.63
ENSGALG00000006441	73.81	78.91	20.51	49.57
Locus_21048	0	0	0	0.44
ENSGALG00000022685	0	0.03	0.15	0
ENSGALG00000016531	9.53	15.16	8.76	8
ENSGALG00000008449	0	0.59	1.15	0.19
ENSGALG00000008107	5.59	12.43	8.16	8.68
ENSGALG00000006545	0.07	0.06	0.35	2.14
Locus_28753	0	0.34	0.34	0.13
ENSGALG00000003383	37.75	29.5	24.62	367.39
ENSGALG00000007058	28.19	35.95	16.01	39.46
ENSGALG00000015366	4.15	0.13	0	13.28
ENSGALG00000016249	17.71	7.85	62.68	4.97
ENSGALG00000001532	0.26	0.64	0.29	0.64
ENSGALG00000007172	3.85	5.02	2.89	7.06
ENSGALG00000005687	35.76	16.48	17.9	49.17
Locus_19651	0	0	0	0.72
ENSGALG00000006350	32.02	50.21	74.95	52.56
ENSGALG00000016460	22.6	14	6.05	18.82
ENSGALG00000011334	293.09	104.37	52.13	374.81
ENSGALG00000005680	22.22	5.71	7.6	7.03
ENSGALG00000009829	93.8	142.49	521.58	93.96
CUFF.227232	0	0	0	0
ENSGALG00000024348	1.64	12.94	7.59	4.69
ENSGALG00000012802	2.33	4.38	5.93	3.22
Locus_21012	0.11	0	0.06	0.38
ENSGALG00000012470	0.59	0.02	0	0.23
ENSGALG00000012995	7.33	21.8	10.03	31.25
ENSGALG00000015121	13.51	23.51	6.47	62.81
ENSGALG00000010115	26.42	31.22	11.13	376.43
ENSGALG00000002044	4.5	7.37	19.38	3.41
ENSGALG00000008355	4.17	28.77	22.54	4.04
ENSGALG00000008747	4.49	24.7	20.49	1.82
Locus_28120	1.74	0.94	2.7	1.52
ENSGALG00000006712	0.45	7.83	4.73	74.5
ENSGALG00000015086	85.84	45.05	18.87	358.39
ENSGALG00000004864	6.64	19.98	11.07	8.28
ENSGALG00000009261	2.78	0.06	0	0.2
ENSGALG00000007374	47.49	6.29	4.32	26.39
ENSGALG00000000417	0.09	0.43	1.99	0.08
ENSGALG00000004249	6.26	4.62	2.6	6.18
Locus_97348	0.37	0.16	0	0.55
ENSGALG00000022869	16.16	18.21	15	6.88
ENSGALG00000009275	2.26	6.42	7.39	37.08
ENSGALG00000008417	5.07	23.82	2.82	160.48
ENSGALG00000013772	49.2	27.81	23.53	25.94
ENSGALG00000023761	0	0	0	0.03
ENSGALG00000009053	0.4	0.9	2.45	2.96
CUFF.20229	0	0	0	0.67
ENSGALG00000014726	43.16	0.02	0	2.75
ENSGALG00000004550	66.4	39.19	15.91	45.3
ENSGALG00000016535	103.78	53.35	27.08	49.79
ENSGALG00000016728	19.14	29.98	21.41	9.74
ENSGALG00000011255	7.13	14.3	12.75	23.87
ENSGALG00000023222	0	4.09	9.6	0
Locus_71519	0	0.13	0	0.55
ENSGALG00000003493	41.15	60.41	404.27	77.25
ENSGALG00000014280	0	0.32	0.34	0.13
ENSGALG00000016749	2.91	1.78	0.39	9.12
ENSGALG00000014412	0.81	0.4	24.88	0.35
ENSGALG00000001416	0.3	0.15	0.64	0.78
ENSGALG00000007942	0.72	1.41	0	27.89
ENSGALG00000000384	31.4	17.75	14.52	21.03
ENSGALG00000000045	9.09	21.07	22.46	39.85
ENSGALG00000013795	46.87	6.15	3.69	7.55
ENSGALG00000015023	1.35	0	0	0.07
ENSGALG00000005268	12.03	19.95	22.38	11.5
Locus_88146	0.14	0.1	0	0.36
ENSGALG00000006889	1.98	22.84	20.89	27.48
ENSGALG00000011860	346.27	0.64	0.37	571.93
ENSGALG00000022404	0	0	0	0.07
ENSGALG00000013498	0.47	0.84	2.14	2.28
Locus_77417	0	0	0	1.11
ENSGALG00000002969	10.59	17.89	20.79	25.51
ENSGALG00000000769	4.73	2.78	3.72	1.84
ENSGALG00000014853	18.34	1.12	0	0.07
ENSGALG00000001250	847.1	352.98	115.31	294.07
blastnHuman.ENSG00000228086	0	0	0	0
ENSGALG00000024322	0.51	0.02	0	123.37
ENSGALG00000015669	1.65	15.13	7.26	11.8
ENSGALG00000010316	2.67	1.56	1.8	2.69
ENSGALG00000006568	39.24	32.66	25.38	27.82
ENSGALG00000002848	0.03	0	0	0.52
ENSGALG00000010711	38.06	0.02	0.04	0.03
blastnHuman.ENSG00000225106	0	0	0	0
ENSGALG00000008317	1.5	4.52	5.92	1.85
ENSGALG00000000367	19.22	3.22	2.53	6.64
ENSGALG00000007832	16.86	20.08	16.64	31.04
Locus_127546	0	0.08	0	2.6
ENSGALG00000005672	7.52	0	0	0.59
ENSGALG00000017372	0	0.04	0	0.08
ENSGALG00000001295	13.59	9.76	13.12	12.72
CUFF.189829	0	0	0	0.18
ENSGALG00000022069	0	0	0	0
ENSGALG00000011976	11.37	13.27	13.13	16.07
Locus_73257	0	0	0.07	1.07
ENSGALG00000024050	0.15	2.49	5.59	0.13
ENSGALG00000017038	7.16	7.89	15.24	4.84
Locus_110061	0	0.74	0	1.23
CUFF.120123	0	0.94	0	0.42
ENSGALG00000012619	9.82	9.33	12.87	135.67
ENSGALG00000007100	109.53	23.63	8.3	23.11
ENSGALG00000013226	0	0.02	0.03	0.64
ENSGALG00000022218	5.45	1.36	0.31	5.31
ENSGALG00000007149	22.94	15.91	12.85	9.73
ENSGALG00000015696	15.45	3.01	4.91	0.05
Locus_118004	0	0	0	10.76
ENSGALG00000000456	23.35	14.79	43.82	11.51
ENSGALG00000010854	14.52	13.28	14.14	1.78
ENSGALG00000017254	81.64	0.44	0.08	0.38
ENSGALG00000006290	50.04	2.76	0.04	0.53
ENSGALG00000002207	6.17	0.58	1.93	1.51
ENSGALG00000012754	0	0.01	0.06	0.11
ENSGALG00000006967	19.15	10.83	14.03	3.33
ENSGALG00000006830	6.45	17.17	15.67	41.27
ENSGALG00000003356	35.52	47.63	58.12	29.03
Locus_50635	0	0	0	2.05
ENSGALG00000023992	7.65	13.3	36.58	1.52
ENSGALG00000011855	8.63	8.44	6.19	1.53
ENSGALG00000013609	42.94	58.34	22.01	35.1
ENSGALG00000012251	0.07	3.4	11.82	1.4
ENSGALG00000008574	23.24	17.61	13.73	50.56
ENSGALG00000006083	14.1	28.98	6.44	8.6
ENSGALG00000009360	18.55	12.47	9.22	7.9
CUFF.58191	0	0.57	0.52	0.1
CUFF.181468	0.08	0	0	1.96
ENSGALG00000022054	0	0	0	0.95
ENSGALG00000000733	1.12	0.2	0.17	1.32
ENSGALG00000008860	55.43	30.7	31.78	13.4
ENSGALG00000014570	6.19	9.65	30.43	20.73
Locus_28266	0	0	0	0.95
CUFF.173249	0.09	0.16	0	0.34
blastnMouse.Locus_92483	0	0	0	0
Locus_64258	0.11	0.2	0.12	5.18
ENSGALG00000011965	97.61	79.64	33.22	13.27
CUFF.75533	0	0	0	0.71
ENSGALG00000001342	21.05	0.52	0.53	0.66
ENSGALG00000000395	0	22.24	45.32	0
ENSGALG00000010532	2.08	2.1	6.82	3.17
ENSGALG00000001917	0.18	0.07	0.52	0.58
Locus_28767	0	0	0	0.57
ENSGALG00000012380	10.51	14.66	9.21	10.56
ENSGALG00000007048	18.52	23.06	6.83	1.93
ENSGALG00000002355	0.37	4.38	10.57	1.39
ENSGALG00000004176	94.46	97.52	81.24	66.55
ENSGALG00000023179	4.21	0	0	0
Locus_48272	2.39	0.87	2.51	0.3
Locus_19397	0.09	0.02	0	4.1
ENSGALG00000009017	4.49	1.17	0.77	7.22
ENSGALG00000022400	0	0	0.04	0.03
ENSGALG00000024216	0	0	0	0
Locus_21476	0.23	0.5	0.21	3.97
ENSGALG00000008162	8.41	34.39	13.57	17.48
ENSGALG00000012135	379.33	576.26	295.48	113.18
ENSGALG00000013565	82.48	97.82	26.36	73.77
ENSGALG00000012769	9	24.9	20.1	29.83
CUFF.101738	0	0.16	0	0.59
Locus_98668	0	0	0	0.4
ENSGALG00000006390	37	22.41	14.57	62.73
ENSGALG00000016289	43.83	18.06	7.71	22.78
ENSGALG00000009593	31.61	28.54	34.28	58.47
Locus_47177	0	0	0	0.46
Locus_19759	0	0.56	1.04	0
CUFF.12381	1.93	0.25	0.02	0.6
ENSGALG00000007713	0.68	1.66	5.71	0.17
ENSGALG00000006672	41.28	52.95	19.1	64
ENSGALG00000015619	1.92	1.29	1.74	1.81
Locus_20981	0	0	0	1.3
ENSGALG00000000219	159.93	46.57	37.63	106.3
ENSGALG00000005606	1	0	0.11	0.13
ENSGALG00000005908	103.42	38.48	59.33	105.19
ENSGALG00000012692	15.9	12.63	16.5	12.17
CUFF.264081	0.13	0	0	0.22
ENSGALG00000014483	5.73	6.6	2.46	10.24
ENSGALG00000006091	0.22	0.54	0.18	20.38
ENSGALG00000012621	9.22	4.9	2.75	10.45
Locus_117470	0.05	0	0	13.24
ENSGALG00000000856	23.31	43.5	24.65	61.37
ENSGALG00000009030	0	0	0	0.17
ENSGALG00000010848	7.03	23.03	15.23	19.66
ENSGALG00000023673	4.27	4.45	3.62	4.1
ENSGALG00000008728	9.66	77.12	17.78	20.47
ENSGALG00000009078	4.77	0.45	0.78	0.49
ENSGALG00000004193	0.31	2.14	2.83	3.11
ENSGALG00000005700	21.01	15.62	17.1	21.94
ENSGALG00000001275	0	0	0	0
ENSGALG00000004570	9.26	11.49	8.57	12.02
ENSGALG00000016718	2.28	0.66	1.18	0.54
Locus_22072	0.09	0	0	3.5
ENSGALG00000015181	3.89	5.66	5.43	3.05
ENSGALG00000022132	0	0	0	0
blastnMouse.Locus_87099	0	0	0	0
ENSGALG00000000558	31.11	0.32	0.14	3.8
CUFF.169951	0	0	0	1.52
blastnOpossum.Locus_87550	0	0	0	0
ENSGALG00000014744	43.63	0.14	0.62	0.22
Locus_88291	0	1	1.66	16.65
ENSGALG00000015564	5.66	3.08	1.59	1.74
Locus_126275	0	0.06	0.14	3.28
ENSGALG00000008400	59.54	32.5	15.51	57.71
ENSGALG00000001206	0.08	0.23	0.26	0.38
ENSGALG00000004338	4.68	24.27	33.59	14.92
Locus_74317	0	0	0	1.18
Locus_21481	0	0	0	3
Locus_110233	0.47	0.07	0.17	0.33
ENSGALG00000001046	102.63	26.65	20.04	124.25
ENSGALG00000013883	59.52	39.63	41.4	87.42
ENSGALG00000005506	1.18	4.73	2.74	2.93
ENSGALG00000009567	5.96	12.3	10.77	0.41
Locus_97225	0	0.77	0.79	0.46
ENSGALG00000020986	0	0.08	0.2	0.13
ENSGALG00000016889	8.58	2.2	1.11	5.35
CUFF.25565	0	0.1	0	0.37
Locus_21706	0	0	0	0.71
ENSGALG00000000041	137.63	100.54	78.42	178.49
ENSGALG00000023607	0	0.03	0.34	0.07
ENSGALG00000006305	6.74	14.55	20.78	7.13
blastnGorilla.Locus_197040	0	0	0	0
Locus_73375	1.1	0.2	0.12	1.51
ENSGALG00000011658	0	0	0.02	0.68
blastnMacaque.CUFF.283664	0	0	0	0
ENSGALG00000008663	92.74	27.7	21.23	66.08
ENSGALG00000005077	0.09	1.91	2.82	0.41
ENSGALG00000022420	0.84	7.6	5.56	0.09
ENSGALG00000017343	0.12	93.1	79.08	0.32
ENSGALG00000002860	1.88	0	0.11	1.08
ENSGALG00000006062	18.46	45.76	28.09	136.83
ENSGALG00000009773	35.69	18.51	15.12	15.12
ENSGALG00000022063	0	0	0	0.05
ENSGALG00000007665	1.02	0.67	1.04	2.84
Locus_5463	0	0	0	0.3
ENSGALG00000006326	77.73	17.55	129.92	26.67
ENSGALG00000013073	5.79	15.05	12.18	5.21
ENSGALG00000015854	14.61	40.1	28.18	20.42
ENSGALG00000012942	13.42	0.15	0.16	0.22
ENSGALG00000023309	0	0.04	0.02	0
ENSGALG00000022410	0	0	0	0
Locus_106600	0	0	0	0.76
ENSGALG00000011153	9.89	46.83	24.03	7.67
CUFF.181571	0	0.78	0.04	0
ENSGALG00000009433	14.2	68.55	19.2	11.06
Locus_22041	0	0	0	1.8
ENSGALG00000023516	52.83	48.04	10.1	116.38
ENSGALG00000004986	0	0.02	0	0
ENSGALG00000010863	9.78	19.72	11.66	22.34
ENSGALG00000000259	38.75	21.4	37.23	20.74
ENSGALG00000004297	0.72	13.12	3.63	31.07
CUFF.85670	0.09	0	0	0.18
blastnGorilla.Locus_440088	0	0	0	0
ENSGALG00000005050	0.07	0.02	0.12	0.06
ENSGALG00000008361	1.42	3.91	12.66	1.06
ENSGALG00000014117	35.56	0	0.07	0.16
ENSGALG00000003487	38.61	54.49	38.06	115.31
blastnMacaque.Locus_428691	0	0	0	0
ENSGALG00000006276	7.46	5.5	9.12	13.15
ENSGALG00000016959	5.29	2.48	0.75	2.65
ENSGALG00000012903	2.41	2.52	4.31	1.68
ENSGALG00000013615	4.69	27.06	24.06	4.21
ENSGALG00000022799	0	0	0	11.8
ENSGALG00000012379	105.06	111.51	61.73	251.99
ENSGALG00000012917	13.68	2.1	0.45	1.41
ENSGALG00000006843	14.73	8.58	5.23	11.26
ENSGALG00000001104	65.71	42.8	32.66	57.28
ENSGALG00000016071	1.82	0.22	0.46	7.91
ENSGALG00000010831	0.03	0.04	0.56	0.28
ENSGALG00000008386	14.92	48.28	33.85	25.25
ENSGALG00000010224	3.59	42.42	107.55	0.59
ENSGALG00000009927	34.99	27.03	29.3	15.75
ENSGALG00000003398	23.07	67.7	26.52	11.02
ENSGALG00000006975	11.69	5.01	6	11.75
Locus_65744	3.32	1.33	4.75	1.71
ENSGALG00000001282	202.19	0.4	0.13	0.77
CUFF.193926	0	0	0	6.01
ENSGALG00000000158	5.49	5.15	44.26	2.05
ENSGALG00000014662	17.92	25.52	54.47	18.76
ENSGALG00000003870	30.95	33.75	17.45	28.87
ENSGALG00000023562	6.82	19.82	4.82	28.13
ENSGALG00000006127	46.26	16.29	25.69	25.3
ENSGALG00000017335	37.15	49.61	79.43	20.18
Locus_105283	0	0	0	0.68
blastnGorilla.Locus_258073	0	0	0	0
ENSGALG00000015719	0.98	46.5	196.91	2.47
Locus_117491	0	0	0	0.42
ENSGALG00000011808	0.2	0.01	0.07	1.33
CUFF.205950	0	0.01	0	0.58
ENSGALG00000016973	21.6	30.42	11.92	28.69
Locus_64197	0	0	0	0.94
ENSGALG00000003365	12.35	10.57	10.82	27.51
CUFF.93054	0.08	0.13	0.09	0.54
ENSGALG00000016690	0.09	0.26	0.02	0.13
ENSGALG00000005730	4.6	0.34	0.61	5.39
Locus_51686	0	0.05	0	0.72
CUFF.45298	0.61	0.27	0.17	1.58
Locus_46074	0	0	0	1.56
Locus_18855	0	0.03	0.25	3.62
blastnPan.Locus_8477	0	0	0	0
ENSGALG00000006410	28.26	16.36	13.52	12.8
Locus_102401	3.01	7.32	0.11	0.58
ENSGALG00000023211	0	0.08	0.42	0.9
ENSGALG00000022283	0	0	0	0
ENSGALG00000021601	14.43	10.25	5.67	28.01
ENSGALG00000009854	0.48	1.45	0.5	213.72
ENSGALG00000021139	27.52	382.41	4501.81	0.62
ENSGALG00000023166	2.24	13.06	4.58	2.08
ENSGALG00000002959	56.18	74.8	20.07	52.44
ENSGALG00000005716	6.86	4.76	4.44	2.33
ENSGALG00000015314	11.55	7.26	4.88	43.53
Locus_49176	0	0.06	0	3.32
Locus_99480	0.66	0.15	0	0.28
Locus_80404	3.53	0.13	0	20.82
ENSGALG00000012852	182.52	99.06	47.99	65.92
ENSGALG00000005541	0.11	2.37	3.64	5.26
ENSGALG00000000843	13.14	15.97	5.45	54.24
blastnPlatypus.CUFF.164066	0	0	0	0
ENSGALG00000009694	4.49	0.39	0.74	0.46
ENSGALG00000007510	80.16	59.47	43.3	105.38
ENSGALG00000005693	6.9	11.89	11.58	4.79
ENSGALG00000000491	83.89	110.07	31	151.57
ENSGALG00000005215	3.11	1.36	1.96	1.38
ENSGALG00000006921	20.45	16	34.97	80.53
ENSGALG00000022347	0	0	0	0
ENSGALG00000007522	3.66	19.2	18.51	3.24
ENSGALG00000003046	586.11	455.28	114.22	631.52
ENSGALG00000005366	0.19	4.25	5.33	0.91
CUFF.189440	0	0	0	0.35
Locus_83907	0	0	0.13	1.89
Locus_46312	0	0.15	0.12	0.87
ENSGALG00000024222	0	0	0	0
ENSGALG00000005331	10.33	5.9	3.05	10.45
ENSGALG00000012342	35.15	21.33	9.61	8.47
ENSGALG00000016521	2.08	0.31	1.53	0.6
ENSGALG00000014582	18.58	11.56	7.12	20.23
ENSGALG00000010020	8.73	6.99	2.83	22.93
ENSGALG00000002984	27.36	12.96	10.59	11.8
ENSGALG00000005826	0.94	6.37	4.71	28.06
Locus_87716	0	1.06	0.1	0.9
ENSGALG00000008550	93.1	55.33	25.12	148.6
ENSGALG00000003041	3.43	1.42	0	2
Locus_118768	0	0	0	2.43
CUFF.40405	0	0	0	0.89
ENSGALG00000011896	5.48	7.52	22.7	3.48
ENSGALG00000016587	398.1	929.93	1236.97	378.49
ENSGALG00000012117	1.19	6.91	8.26	0.17
ENSGALG00000002215	0.45	9.11	14.57	0.67
ENSGALG00000001080	0	0	0	0
CUFF.46140	0	0	0	0.8
blastnHuman.ENSG00000254129	0	0	0	0.96
Locus_64694	1.87	0.08	0	18.33
ENSGALG00000012541	0	0.1	0.05	0.15
CUFF.155529	0	0	0	1.61
ENSGALG00000005163	4.19	6.04	40.28	4.71
ENSGALG00000013425	11.23	8.7	23.2	3.54
ENSGALG00000015037	33.82	43.61	9.45	27.02
Locus_120636	0	0	0	1.02
ENSGALG00000008118	26.6	25.09	7	18.53
ENSGALG00000015978	12.46	9.25	10.98	14.93
ENSGALG00000008497	53.19	61.68	96.34	19.78
ENSGALG00000012073	1.39	0.03	0	11.16
ENSGALG00000022812	0	0.02	0.03	0
Locus_20384	0	0	0	0.97
Locus_52070	13.13	5.21	7.8	0.95
ENSGALG00000013465	0.13	2.95	6.86	0.49
ENSGALG00000015064	5.82	2.89	3.63	2.44
CUFF.32323	0	0	0	0.49
ENSGALG00000002689	3.79	3.75	5.21	19.68
ENSGALG00000023706	0.4	0	0	20.95
CUFF.71177	0	0	0	1.02
Locus_48021	0	0.11	0	0.42
ENSGALG00000004972	0.6	0	0.03	0.17
ENSGALG00000021017	3.48	2.8	4.48	40.39
ENSGALG00000008399	64.37	30.27	2.42	513.36
ENSGALG00000000142	27.91	30.23	27.8	11.13
CUFF.50484	0	0	0	0.44
Locus_127583	0	0	0	0.9
