Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Gene ID	Associated Gene Name
2B	224681061	224699518	ENSPTRG00000012965	STK11IP
17	47836218	47841156	ENSPTRG00000008736	SLC25A35
17	47840694	47842275	ENSPTRG00000008737	RANGRF
2A	102372605	102479300	ENSPTRG00000012299	IL1R1
7	152247061	152305084	ENSPTRG00000019876	AGAP3
12	102504972	102506350	ENSPTRG00000005361	PMCH
1	109914211	109932402	ENSPTRG00000001042	KIAA1324
11	111974929	112160003	ENSPTRG00000004302	ZBTB16
2A	102489510	102563719	ENSPTRG00000012300	IL1RL2
12	102731473	102793272	ENSPTRG00000024078	IGF1
11	112208592	112221397	ENSPTRG00000004303	NNMT
15	75201895	75220396	ENSPTRG00000030235	LINGO1
17	47860466	47881993	ENSPTRG00000008735	PFAS
15	75488926	75491787	ENSPTRG00000039368	
14	92824075	92878083	ENSPTRG00000006663	BTBD7
11	112300520	112309214	ENSPTRG00000004304	C11orf71
15	75531582	75534396	ENSPTRG00000033753	
9	132485330	132512578	ENSPTRG00000021506	GTF3C5
11	112309499	112317790	ENSPTRG00000004305	RBM7
15	75584593	75663143	ENSPTRG00000007333	TBC1D2B
1	109943115	109968116	ENSPTRG00000001043	SARS
6	84074362	84087519	ENSPTRG00000018382	PRSS35
12	103150291	103229228	ENSPTRG00000005364	PAH
9	132516901	132526684	ENSPTRG00000021507	CEL
15	75678989	75689897	ENSPTRG00000007334	SH2D7
6	84430077	84434311	ENSPTRG00000029533	RIPPLY2
15	75691038	75717900	ENSPTRG00000007335	CIB2
14	92930250	92931027	ENSPTRG00000030677	COX8C
3	140344030	140378672	ENSPTRG00000030117	SLC35G2
14	93047505	93289397	ENSPTRG00000006664	UNC79
6	84436447	84537728	ENSPTRG00000018385	CYB5R4
3	140384962	140472650	ENSPTRG00000015434	NCK1
10	113850063	114081235	ENSPTRG00000002961	ABLIM1
2A	102695735	102727731	ENSPTRG00000012302	IL18R1
7	152308415	152327705	ENSPTRG00000019877	GBX1
9	132553477	132579771	ENSPTRG00000021509	RALGDS
3	140481396	140528323	ENSPTRG00000015436	IL20RB
11	112347892	112358479	ENSPTRG00000004306	REXO2
7	152335607	152347191	ENSPTRG00000019878	ASB10
15	75736236	75757524	ENSPTRG00000007336	IDH3A
2B	224710661	224725084	ENSPTRG00000012966	SLC4A3
4	157662127	157668745	ENSPTRG00000016535	FGA
12	103270129	103270616	ENSPTRG00000005366	
12	103482776	103486492	ENSPTRG00000041375	
12	103613296	103785619	ENSPTRG00000005367	C12orf42
2A	102731821	102733359	ENSPTRG00000000128	
12	103893736	104079200	ENSPTRG00000005368	STAB2
2A	102749741	102782343	ENSPTRG00000012303	IL18RAP
3	141272399	141273210	ENSPTRG00000042375	
11	112430623	112468517	ENSPTRG00000004307	NXPE1
7	152368072	152387218	ENSPTRG00000019880	ABCF2
6	84610246	84669186	ENSPTRG00000018387	MRAP2
11	112479132	112500196	ENSPTRG00000004308	NXPE4
3	141517246	141540319	ENSPTRG00000015438	CLDN18
4	157682128	157691597	ENSPTRG00000016536	FGG
6	84704324	84806407	ENSPTRG00000018388	CEP162
19	45179710	45198783	ENSPTRG00000010987	ZNF546
11	112566542	112590940	ENSPTRG00000028394	NXPE2
19	45217395	45232848	ENSPTRG00000010988	
2A	102805197	102865356	ENSPTRG00000012304	SLC9A4
19	45257059	45273062	ENSPTRG00000022702	ZNF780A
3	141569904	141615915	ENSPTRG00000015439	DZIP1L
2A	102946934	103038327	ENSPTRG00000012305	SLC9A2
11	113055345	113120946	ENSPTRG00000004310	CADM1
3	141635771	141644428	ENSPTRG00000015440	A4GNT
15	75754442	75823820	ENSPTRG00000007337	ACSBG1
11	114647073	114672228	ENSPTRG00000004311	BUD13
3	141674036	141688004	ENSPTRG00000015441	DBR1
17	47889659	47902360	ENSPTRG00000008734	CTC1
19	45378538	45402970	ENSPTRG00000010989	MAP3K10
14	93304353	93371125	ENSPTRG00000006666	PRIMA1
7	152392485	152398808	ENSPTRG00000019881	CHPF2
17	47919450	47925363	ENSPTRG00000008731	AURKB
2A	103044195	103063947	ENSPTRG00000012307	MFSD9
14	93504484	93515201	ENSPTRG00000006667	FAM181A
9	132612093	132624607	ENSPTRG00000021510	GBGT1
3	141700362	141761395	ENSPTRG00000015442	ARMC8
19	45405030	45406651	ENSPTRG00000023273	TTC9B
7	152398963	152408975	ENSPTRG00000019882	SMARCD3
6	85264322	85341960	ENSPTRG00000018390	TBX18
19	45410909	45415380	ENSPTRG00000010991	CNTD2
1	109979372	110004670	ENSPTRG00000001044	CELSR2
14	93519726	93550458	ENSPTRG00000006668	ASB2
10	114248837	114292542	ENSPTRG00000002963	FAM160B1
19	45423454	45432256	ENSPTRG00000010992	AKT2
2A	103089886	103145610	ENSPTRG00000012308	TMEM182
11	114677756	114687325	ENSPTRG00000004312	ZNF259
1	110010181	110013794	ENSPTRG00000001045	PSRC1
3	141814847	141844391	ENSPTRG00000015444	NME9
2B	226508896	226655853	ENSPTRG00000012967	EPHA4
6	86027242	86073470	ENSPTRG00000018391	NT5E
3	141888032	141920422	ENSPTRG00000015445	MRAS
15	75853727	75871663	ENSPTRG00000007338	DNAJA4
9	132665988	132670210	ENSPTRG00000021511	
2A	105201286	105202396	ENSPTRG00000030398	
2A	105389978	105451577	ENSPTRG00000012310	MRPS9
14	93613887	93637303	ENSPTRG00000006671	OTUB2
3	141950510	141992761	ENSPTRG00000015446	ESYT3
19	45463804	45465796	ENSPTRG00000029016	
1	110022723	110039458	ENSPTRG00000041255	MYBPHL
19	45516311	45541966	ENSPTRG00000010993	C19orf47
14	93639288	93669602	ENSPTRG00000006673	DDX24
6	86085208	86173206	ENSPTRG00000018392	SNX14
19	45560473	45570991	ENSPTRG00000010994	PLD3
19	45573906	45585746	ENSPTRG00000010995	HIPK4
2A	105616198	105657509	ENSPTRG00000012313	TGFBRAP1
1	110046464	110138315	ENSPTRG00000001046	SORT1
10	114365640	114405107	ENSPTRG00000002964	TRUB1
7	152500929	152537581	ENSPTRG00000019883	NUB1
19	45589531	45610087	ENSPTRG00000010996	PRX
17	47956486	47958874	ENSPTRG00000008728	TMEM107
9	132719920	132739695	ENSPTRG00000021513	ABO
2B	227290164	227392054	ENSPTRG00000012969	PAX3
15	75872743	75889110	ENSPTRG00000007339	WDR61
17	47970955	47974795	ENSPTRG00000008727	VAMP2
1	110222591	110235584	ENSPTRG00000001050	SYPL2
2A	105688712	105699992	ENSPTRG00000012314	C2orf49
10	114521952	115376572	ENSPTRG00000002965	ATRNL1
11	114688684	114691186	ENSPTRG00000004313	APOA5
1	110240298	110248775	ENSPTRG00000001051	ATXN7L2
3	142010160	142110624	ENSPTRG00000015448	CEP70
17	47978020	47994398	ENSPTRG00000008726	PER1
2A	105712494	105742586	ENSPTRG00000012315	FHL2
19	45619680	45620589	ENSPTRG00000029014	SERTAD1
19	45638228	45641752	ENSPTRG00000010998	SERTAD3
11	114720210	114722802	ENSPTRG00000004314	APOA4
2A	106174477	106255758	ENSPTRG00000012316	NCK2
19	45647591	45667524	ENSPTRG00000010999	BLVRB
14	93685337	93690136	ENSPTRG00000006674	IFI27L1
14	93698827	93704811	ENSPTRG00000006675	IFI27
2A	106421227	106433546	ENSPTRG00000012317	C2ORF40
11	114729510	114731890	ENSPTRG00000004315	APOC3
7	152540260	152569802	ENSPTRG00000019886	WDR86
19	45674346	45778306	ENSPTRG00000011000	SPTBN4
17	48011267	48015171	ENSPTRG00000008725	HES7
1	110250064	110256430	ENSPTRG00000001052	CYB561D1
2A	106448691	106543640	ENSPTRG00000012318	UXS1
9	132803217	132808722	ENSPTRG00000021514	SURF6
11	114734570	114736462	ENSPTRG00000004316	APOA1
17	48016885	48039435	ENSPTRG00000008724	ALOXE3
7	152589761	152599827	ENSPTRG00000019887	CRYGN
14	93715871	93717415	ENSPTRG00000030676	IFI27L2
14	93765127	93871525	ENSPTRG00000006676	PPP4R4
7	152715382	153037108	ENSPTRG00000019889	PRKAG2
1	110263000	110265889	ENSPTRG00000001053	AMIGO1
9	132815954	132822213	ENSPTRG00000021515	MED22
1	110298078	110304023	ENSPTRG00000001054	GPR61
9	132826441	132831130	ENSPTRG00000021517	SURF1
1	110306748	110353820	ENSPTRG00000001055	GNAI3
17	48049971	48065157	ENSPTRG00000008723	ALOX12B
11	114744053	114996503	ENSPTRG00000004317	SIK3
15	75932706	75942835	ENSPTRG00000007340	CRABP1
2B	227391205	227397615	ENSPTRG00000012970	CCDC140
15	76032442	76095857	ENSPTRG00000007342	IREB2
2B	227528506	227658536	ENSPTRG00000012972	SGPP2
14	93875892	93885834	ENSPTRG00000006677	SERPINA10
4	157820388	157830602	ENSPTRG00000016537	LRAT
10	115482698	115701581	ENSPTRG00000002966	GFRA1
4	157862939	157909352	ENSPTRG00000016538	RBM46
3	142125509	142150829	ENSPTRG00000015449	FAIM
2B	227670167	227756872	ENSPTRG00000012974	FARSB
9	132831238	132836454	ENSPTRG00000021518	SURF2
9	132836780	132851365	ENSPTRG00000021519	SURF4
6	86194033	86220902	ENSPTRG00000018393	SYNCRIP
14	93896828	93915887	ENSPTRG00000006678	SERPINA6
11	115046871	115073676	ENSPTRG00000004318	PAFAH1B2
17	48088527	48098556	ENSPTRG00000008721	ALOX15B
2A	107168764	107255026	ENSPTRG00000012323	ST6GAL2
4	158434211	158466524	ENSPTRG00000016540	MAP9
1	110361268	110371090	ENSPTRG00000001056	GNAT2
3	142173062	142279337	ENSPTRG00000015452	PIK3CB
19	45780088	45795170	ENSPTRG00000011001	SHKBP1
14	93960570	93972629	ENSPTRG00000023666	SERPINA1
2A	108250238	108277348	ENSPTRG00000012325	SLC5A7
1	110378656	110389715	ENSPTRG00000001057	AMPD2
6	87527878	87607984	ENSPTRG00000029524	HTR1E
6	87682762	87692420	ENSPTRG00000018398	CGA
1	110414479	110420094	ENSPTRG00000001060	GSTM4
19	45796969	45834873	ENSPTRG00000011002	LTBP4
12	104091197	104153736	ENSPTRG00000005370	NT5DC3
9	132851680	132879329	ENSPTRG00000024153	STKLD1
4	158759970	158826365	ENSPTRG00000016541	GUCY1A3
11	115081807	115099991	ENSPTRG00000004319	SIDT2
10	115752005	115808447	ENSPTRG00000002967	CCDC172
12	104153983	104157181	ENSPTRG00000041704	
12	104242097	104260266	ENSPTRG00000005372	HSP90B1
6	87753174	87864363	ENSPTRG00000018400	ZNF292
2A	108372231	108377710	ENSPTRG00000041442	
2A	108610166	108754382	ENSPTRG00000023956	SULT1C3
3	142470578	142473784	ENSPTRG00000030113	FOXL2NB
10	115856349	115907516	ENSPTRG00000029701	PNLIPRP3
7	153116248	153172913	ENSPTRG00000019890	GALNTL5
3	142872248	142885286	ENSPTRG00000015458	MRPS22
6	87884400	87924766	ENSPTRG00000018401	GJB7
6	87924345	87944059	ENSPTRG00000018402	SMIM8
2A	108777688	108798102	ENSPTRG00000024324	SULT1C2
9	132879297	132968649	ENSPTRG00000023363	REXO4
6	87946602	87967218	ENSPTRG00000029521	C6orf163
1	110442528	110442814	ENSPTRG00000040230	
1	110985906	111014386	ENSPTRG00000033846	ZDHHC11
15	76109005	76129394	ENSPTRG00000007343	HYKK
17	48167287	48248581	ENSPTRG00000009380	SPOP
10	115975494	115998518	ENSPTRG00000002970	PNLIP
6	87999991	88001273	ENSPTRG00000039131	
1	111299523	111309158	ENSPTRG00000039319	
6	88009695	88067344	ENSPTRG00000034305	
15	76136107	76144976	ENSPTRG00000007345	PSMA4
1	111328496	111334953	ENSPTRG00000001225	GJA8
3	142885838	142917813	ENSPTRG00000015459	COPB2
1	111481488	111482564	ENSPTRG00000038801	GJA5
2A	108817498	108827345	ENSPTRG00000023059	SULT1C4
9	132894594	132934995	ENSPTRG00000022942	ADAMTS13
1	111571987	111597858	ENSPTRG00000001223	ACP6
14	94028532	94038740	ENSPTRG00000006680	SERPINA11
7	153247732	153275282	ENSPTRG00000019891	GALNT11
6	88075816	88115415	ENSPTRG00000018405	SLC35A1
2A	108885397	108935782	ENSPTRG00000012327	GCC2
10	116089329	116095331	ENSPTRG00000002973	C10orf82
12	104262567	104270022	ENSPTRG00000029559	C12ORF73
14	94048649	94062543	ENSPTRG00000006681	SERPINA9
2B	227772621	227811933	ENSPTRG00000012975	MOGAT1
10	116096552	116132958	ENSPTRG00000002974	HSPA12A
7	153288407	153606718	ENSPTRG00000019892	KMT2C
2B	227965911	228046905	ENSPTRG00000012976	ACSL3
12	104302644	104363180	ENSPTRG00000005374	GLT8D2
2A	109098067	109119152	ENSPTRG00000012329	
4	158853012	158906225	ENSPTRG00000016542	GUCY1B3
11	115101871	115107336	ENSPTRG00000004320	TAGLN
17	48271739	48279217	ENSPTRG00000009381	SLC35B1
3	142980945	143004570	ENSPTRG00000015460	RBP2
6	88117471	88193842	ENSPTRG00000018407	RARS2
14	94073490	94104120	ENSPTRG00000006682	SERPINA12
10	116280354	116313386	ENSPTRG00000002975	ENO4
2A	109163706	109228565	ENSPTRG00000012332	RANBP2
3	143045993	143068235	ENSPTRG00000015461	RBP1
14	94149801	94158941	ENSPTRG00000006683	SERPINA4
19	45872581	45892350	ENSPTRG00000011003	NUMBL
1	111620286	111633463	ENSPTRG00000001222	BCL9
19	45897185	45921825	ENSPTRG00000011004	ADCK4
10	116315128	116436876	ENSPTRG00000002976	KIAA1598
12	104378551	104420303	ENSPTRG00000005375	HCFC2
11	115107624	115135441	ENSPTRG00000004321	PCSK7
3	143088560	143207025	ENSPTRG00000015462	NMNAT3
14	94170607	94181216	ENSPTRG00000032490	SERPINA5
14	94201602	94213256	ENSPTRG00000023582	SERPINA3
17	48282262	48335668	ENSPTRG00000009382	FAM117A
3	143467906	144113504	ENSPTRG00000015463	CLSTN2
15	76161479	76190181	ENSPTRG00000007346	CHRNA5
1	111967083	112020865	ENSPTRG00000001220	CHD1L
17	48361555	48403286	ENSPTRG00000009383	MYST2
3	144227326	144250454	ENSPTRG00000015465	TRIM42
2B	228158993	228162481	ENSPTRG00000012977	KCNE4
2B	228702160	228707711	ENSPTRG00000012978	SCG2
2B	228861919	228944203	ENSPTRG00000012979	AP1S3
19	45924299	45949090	ENSPTRG00000011005	ITPKC
2B	228984051	229053928	ENSPTRG00000012980	WDFY1
9	132935780	132946493	ENSPTRG00000024267	CACFD1
3	144498008	144536804	ENSPTRG00000015467	SLC25A36
2A	109229572	109327731	ENSPTRG00000012333	CCDC138
15	76193547	76200256	ENSPTRG00000007347	CHRNA3
15	76227006	76233216	ENSPTRG00000007348	CHRNB4
15	76350913	76354105	ENSPTRG00000034095	
6	88193892	88270405	ENSPTRG00000018408	ORC3
19	45949088	45958138	ENSPTRG00000011006	C19orf54
12	104599236	104662301	ENSPTRG00000005378	TXNRD1
15	76367440	76379553	ENSPTRG00000023835	
9	132946800	132956208	ENSPTRG00000023818	SLC2A6
19	45959089	45973790	ENSPTRG00000011007	SNRPA
7	153808698	153835898	ENSPTRG00000024178	XRCC2
7	153922015	154017618	ENSPTRG00000019897	ACTR3B
11	115136080	115190572	ENSPTRG00000004323	RNF214
2B	229067451	229077126	ENSPTRG00000012981	MRPL44
3	144624389	144706524	ENSPTRG00000015468	SPSB4
2B	229085484	229149739	ENSPTRG00000012982	SERPINE2
4	158929297	158965702	ENSPTRG00000016543	ASIC5
2A	109345903	109443286	ENSPTRG00000012335	EDAR
3	144787962	144851096	ENSPTRG00000015469	ACPL2
14	94355516	94357452	ENSPTRG00000006687	GSC
4	159002731	159019110	ENSPTRG00000016544	TDO2
14	94681828	94754483	ENSPTRG00000023484	DICER1
15	76384456	76385288	ENSPTRG00000033933	
10	116564004	116569840	ENSPTRG00000002977	VAX1
15	76393929	76395189	ENSPTRG00000041193	
9	132992205	133002613	ENSPTRG00000023019	TMEM8C
3	144983101	145003156	ENSPTRG00000030108	ZBTB38
9	133012959	133053041	ENSPTRG00000022572	ADAMTSL2
10	116628901	116642124	ENSPTRG00000002978	KCNK18
3	145044844	145173339	ENSPTRG00000015472	RASA2
10	116673122	116712833	ENSPTRG00000002979	SLC18A2
15	76401919	76446479	ENSPTRG00000007350	ADAMTS7
19	45984861	45986980	ENSPTRG00000011008	
2B	229490633	229513428	ENSPTRG00000012985	FAM124B
2B	229588331	229707309	ENSPTRG00000012986	CUL3
19	45987863	45994186	ENSPTRG00000033697	RAB4B
4	159022838	159052599	ENSPTRG00000016545	CTSO
11	115190571	115221863	ENSPTRG00000004324	BACE1
15	76510604	76536079	ENSPTRG00000007351	MORF4L1
19	46006792	46015911	ENSPTRG00000011010	EGLN2
2A	109798848	110001808	ENSPTRG00000012336	SH3RF3
19	46054361	46060598	ENSPTRG00000033800	CYP2A7
2A	110117774	110119777	ENSPTRG00000038712	SOWAHC
9	133056605	133058439	ENSPTRG00000024369	FAM163B
2A	110364912	110385760	ENSPTRG00000012342	
4	159720781	159728379	ENSPTRG00000042127	
4	159848019	160062676	ENSPTRG00000016546	PDGFC
9	133117022	133139973	ENSPTRG00000021521	DBH
7	155487207	156172310	ENSPTRG00000019901	DPP6
19	46069478	46079141	ENSPTRG00000022528	
2A	110491096	110525288	ENSPTRG00000012345	MALL
19	46087100	46212709	ENSPTRG00000011015	CYP2A13
10	116716479	116808639	ENSPTRG00000002980	PDZD8
2A	110532020	110614617	ENSPTRG00000012346	NPHP1
4	160168403	160267597	ENSPTRG00000016547	GLRB
1	112039116	112078991	ENSPTRG00000001219	FMO5
10	116982881	116989999	ENSPTRG00000002981	EMX2
19	46103780	46130432	ENSPTRG00000033855	CYP2B6
17	48412539	48422265	ENSPTRG00000009384	TAC4
9	133144401	133221563	ENSPTRG00000021522	SARDH
10	117437824	117479780	ENSPTRG00000002982	RAB11FIP2
3	145295180	145302128	ENSPTRG00000039248	RNF7
17	48542598	48548364	ENSPTRG00000009385	DLX4
1	112085657	112087167	ENSPTRG00000040450	
1	112092817	112106463	ENSPTRG00000001218	PRKAB2
11	115221971	115222116	ENSPTRG00000039610	
3	145329752	145369066	ENSPTRG00000015475	GRK7
10	117749652	117782897	ENSPTRG00000002984	FAM204A
11	115244286	115320430	ENSPTRG00000004325	CEP164
17	48563485	48569270	ENSPTRG00000009386	DLX3
12	104773571	105084110	ENSPTRG00000005379	CHST11
3	145427767	145479642	ENSPTRG00000015476	ATP1B3
14	94788878	94827472	ENSPTRG00000006689	CLMN
19	46175241	46202303	ENSPTRG00000023029	
2B	229892033	230172887	ENSPTRG00000012987	DOCK10
17	48641621	48670935	ENSPTRG00000009387	ITGA3
12	105125622	105251491	ENSPTRG00000005380	SLC41A2
19	46235099	46247291	ENSPTRG00000011016	
14	95024067	95082699	ENSPTRG00000006691	SYNE3
6	88282531	88312124	ENSPTRG00000018409	AKIRIN2
7	156211191	156226595	ENSPTRG00000034226	
19	46274070	46278969	ENSPTRG00000011014	
17	48675733	48694057	ENSPTRG00000009388	PDK2
4	160315542	160461422	ENSPTRG00000016548	GRIA2
1	112270033	112274913	ENSPTRG00000023855	NBPF8
19	46356978	46370832	ENSPTRG00000011017	CYP2S1
10	118034159	118036402	ENSPTRG00000002985	PRLHR
7	156226130	156285272	ENSPTRG00000019903	PAXIP1
10	118122511	118199842	ENSPTRG00000002986	CACUL1
1	112428105	112429650	ENSPTRG00000032438	
11	115335522	115711801	ENSPTRG00000004326	DSCAML1
3	145505222	145706333	ENSPTRG00000015479	TFDP2
1	112666556	112729342	ENSPTRG00000001213	GPR89B
6	88662787	88681869	ENSPTRG00000018410	SPACA1
14	95142300	95152034	ENSPTRG00000006692	GLRX5
14	95297682	95303896	ENSPTRG00000006694	TCL1B
12	105310355	105318742	ENSPTRG00000005381	C12ORF45
19	46384373	46424875	ENSPTRG00000011018	AXL
6	88755286	88766588	ENSPTRG00000018411	CNR1
6	89234915	89603290	ENSPTRG00000018413	RNGTT
12	105344109	105412215	ENSPTRG00000005382	ALDH1L2
14	95323337	95327733	ENSPTRG00000006695	TCL1A
2A	110723537	110767268	ENSPTRG00000012348	BUB1
3	145720772	145781730	ENSPTRG00000015480	GK5
14	95709537	95710059	ENSPTRG00000041601	
17	48694005	48713408	ENSPTRG00000009389	SAMD14
14	95825299	95864389	ENSPTRG00000006698	BDKRB2
10	118477033	118526929	ENSPTRG00000002988	EIF3A
19	46429166	46472561	ENSPTRG00000011019	HNRNPUL1
14	95904747	95986738	ENSPTRG00000006700	ATG2B
3	145876847	146024307	ENSPTRG00000015482	XRN1
11	115734182	115742159	ENSPTRG00000004327	
7	156350632	156353648	ENSPTRG00000034352	
7	156352415	156367790	ENSPTRG00000019904	HTR5A
17	48751027	48761689	ENSPTRG00000009391	SGCA
7	156473222	156474602	ENSPTRG00000034509	
4	161198932	161251263	ENSPTRG00000016549	FAM198B
7	156582965	156595444	ENSPTRG00000019905	INSIG1
12	105441550	105502600	ENSPTRG00000005383	KIAA1033
17	48769049	48787012	ENSPTRG00000009393	COL1A1
11	115752387	115758202	ENSPTRG00000004329	FXYD6
9	133239515	133490984	ENSPTRG00000021525	VAV2
7	156728338	156742972	ENSPTRG00000031059	
4	161287799	161332965	ENSPTRG00000016550	TMEM144
7	156810087	156814690	ENSPTRG00000028339	EN2
7	156853185	156885944	ENSPTRG00000019907	CNPY1
15	76560276	76584240	ENSPTRG00000007352	CTSH
7	156962844	156993890	ENSPTRG00000034512	
7	156994830	157131662	ENSPTRG00000019911	RBM33
14	95986924	96010651	ENSPTRG00000006701	C14H14ORF129
6	89605309	89605747	ENSPTRG00000029518	
6	89717578	89722028	ENSPTRG00000018414	PNRC1
6	89732803	89755199	ENSPTRG00000018415	SRSF12
14	96016255	96111755	ENSPTRG00000006703	AK7
2A	111226529	111277638	ENSPTRG00000023320	BCL2L11
2B	230539446	230794884	ENSPTRG00000012988	NYAP2
4	161602746	161751993	ENSPTRG00000016551	RXFP1
2B	231885579	231950642	ENSPTRG00000012989	IRS1
6	89784302	89803392	ENSPTRG00000018416	PM20D2
1	112729550	112763464	ENSPTRG00000023567	PDZK1
2B	231993062	232155473	ENSPTRG00000012990	RHBDD1
7	157146953	157155443	ENSPTRG00000019912	SHH
7	157313754	157317454	ENSPTRG00000028337	
10	118553772	118579130	ENSPTRG00000002989	FAM45A
11	115817142	115844555	ENSPTRG00000004330	TMPRSS13
7	157993545	157994196	ENSPTRG00000019913	
6	89815072	89855412	ENSPTRG00000018417	GABRR1
7	157997348	158030653	ENSPTRG00000019914	RNF32
14	96125311	96191211	ENSPTRG00000006704	PAPOLA
1	112784917	112794883	ENSPTRG00000001211	CD160
2A	111883128	111984703	ENSPTRG00000012356	ANAPC1
10	118583070	118609091	ENSPTRG00000002990	SFXN4
19	46474955	46485407	ENSPTRG00000011020	CCDC97
2B	232158973	232322962	ENSPTRG00000012991	COL4A4
1	112803443	112882520	ENSPTRG00000001210	RNF115
19	46495918	46520194	ENSPTRG00000011021	TGFB1
1	112883366	112901957	ENSPTRG00000001208	POLR3C
9	133315392	133318325	ENSPTRG00000007666	PRSS21
7	158034416	158245430	ENSPTRG00000019915	LMBR1
9	133326864	133329296	ENSPTRG00000007667	ZG16B
19	46543477	46549326	ENSPTRG00000040138	TMEM91
9	133526842	133565299	ENSPTRG00000021526	BRD3
15	76596993	76729842	ENSPTRG00000007353	RASGRF1
6	89888580	89944207	ENSPTRG00000018418	GABRR2
2A	112001512	112001642	ENSPTRG00000041666	
2A	112018912	112154173	ENSPTRG00000012358	MERTK
3	146025528	146148661	ENSPTRG00000015483	ATR
19	46551956	46563049	ENSPTRG00000011024	EXOSC5
10	118611082	118621996	ENSPTRG00000002992	PRDX3
11	115901133	115916250	ENSPTRG00000004331	IL10RA
12	105506779	105571345	ENSPTRG00000005384	APPL2
6	89955808	89982374	ENSPTRG00000023663	UBE2J1
19	46563357	46589409	ENSPTRG00000011025	BCKDHA
9	133638025	133661900	ENSPTRG00000023653	WDR5
17	48865826	48867419	ENSPTRG00000009394	TMEM92
10	118650618	118898859	ENSPTRG00000002993	GRK5
17	48936772	48951462	ENSPTRG00000009395	XYLT2
17	48959040	48964359	ENSPTRG00000009396	MRPL27
1	112905097	112908427	ENSPTRG00000001207	NUDT17
17	48964378	48972653	ENSPTRG00000009397	EME1
1	112908947	112918641	ENSPTRG00000001206	PIAS3
6	89997376	90042308	ENSPTRG00000018420	RRAGD
10	118942456	118986266	ENSPTRG00000002995	RGS10
11	115940530	115944714	ENSPTRG00000023107	
11	115991811	116036091	ENSPTRG00000004332	TMPRSS4
2B	232322968	232477910	ENSPTRG00000012992	COL4A3
9	133820909	133935571	ENSPTRG00000021527	RXRA
1	112928697	112948277	ENSPTRG00000022831	ANKRD35
14	96434226	96518530	ENSPTRG00000006705	VRK1
17	48972427	48988791	ENSPTRG00000009398	LRRC59
2A	112061079	112061810	ENSPTRG00000039415	
10	119016724	119040233	ENSPTRG00000002996	TIAL1
2A	112184664	112239828	ENSPTRG00000012360	TMEM87B
6	90063281	90264770	ENSPTRG00000018421	ANKRD6
12	105665419	105707472	ENSPTRG00000040847	C12orf75
2A	112260868	112310328	ENSPTRG00000012361	FBLN7
1	112953710	112972374	ENSPTRG00000001204	ITGA10
17	49017549	49066188	ENSPTRG00000009399	ACSF2
3	146237257	146299900	ENSPTRG00000015484	PLS1
7	158300313	158323778	ENSPTRG00000019917	NOM1
15	76615958	76622977	ENSPTRG00000007354	
12	106409450	106486610	ENSPTRG00000005386	NUAK1
15	76920927	76936343	ENSPTRG00000040086	ANKRD34C
9	134390269	134397961	ENSPTRG00000021530	FCN2
4	161767450	161771156	ENSPTRG00000031072	C4ORF46
15	76949818	76961539	ENSPTRG00000007356	TMED3
4	161771374	161809237	ENSPTRG00000016553	ETFDH
19	46589765	46593159	ENSPTRG00000011026	B3GNT8
19	46596166	46604706	ENSPTRG00000011028	ATP5SL
14	96580963	96582768	ENSPTRG00000039013	
7	158354799	158360618	ENSPTRG00000019918	MNX1
11	116053221	116070795	ENSPTRG00000004333	SCN4B
12	106589519	106600057	ENSPTRG00000005387	CKAP4
14	97285061	97298617	ENSPTRG00000024389	
14	98385280	98391449	ENSPTRG00000006706	C14orf177
10	119096892	119124763	ENSPTRG00000002998	BAG3
12	106655945	106702538	ENSPTRG00000005388	TCP11L2
7	158488845	158620013	ENSPTRG00000019919	UBE3C
2A	112340472	112383492	ENSPTRG00000012362	ZC3H8
14	98841962	98944112	ENSPTRG00000006707	BCL11B
15	77093856	77106198	ENSPTRG00000007357	KIAA1024
11	116086127	116097667	ENSPTRG00000004334	SCN2B
15	77488059	77540073	ENSPTRG00000007358	MTHFS
6	90200039	90272732	ENSPTRG00000018422	LYRM2
3	146310345	146394460	ENSPTRG00000015485	TRPC1
15	77541965	77550718	ENSPTRG00000033922	ST20
9	134419726	134428116	ENSPTRG00000021531	FCN1
15	77563722	77564298	ENSPTRG00000038683	
14	99071328	99152562	ENSPTRG00000006708	SETD3
15	77601588	77611523	ENSPTRG00000007359	BCL2A1
10	119171559	119274881	ENSPTRG00000022873	INPP5F
11	116115059	116149585	ENSPTRG00000004335	AMICA1
6	90277499	90456929	ENSPTRG00000018423	MDN1
15	77702028	77786227	ENSPTRG00000007361	ZFAND6
12	106715215	106862671	ENSPTRG00000005390	POLR3B
2A	112404027	112463089	ENSPTRG00000012363	ZC3H6
3	146404434	146476321	ENSPTRG00000015486	PCOLCE2
4	161809684	161823671	ENSPTRG00000016554	PPID
9	134612870	134635618	ENSPTRG00000021532	OLFM1
9	134861064	134862070	ENSPTRG00000021534	
14	99154049	99184321	ENSPTRG00000006709	CCNK
9	134999025	135008037	ENSPTRG00000023030	KIAA0649
15	77801125	77835596	ENSPTRG00000007362	FAH
17	49055885	49060229	ENSPTRG00000009400	CHAD
19	46609495	46610511	ENSPTRG00000029005	ERICH4
19	46683922	46692460	ENSPTRG00000011029	CEACAM4
9	135014577	135019046	ENSPTRG00000021536	C9ORF116
